image_name,class_id,class_name,User_1_alignment,User_1_artifact,User_2_alignment,User_2_artifact,User_3_alignment,User_3_artifact,alignment_mean,artifact_mean,alignment_zscore,artifact_zscore,alignment_additive,artifact_additive
000029.png,10,brambling,3.5,4.0,2.5,4.0,5.0,2.0,3.67,3.33,3.68,3.43,3.67,3.33
000030.png,25,European fire salamander,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.33,3.98,4.28,4.0,4.33
000031.png,25,European fire salamander,4.29,5.0,4.29,5.0,5.0,4.0,4.53,4.67,4.55,4.74,4.53,4.67
000032.png,25,European fire salamander,4.0,4.0,5.0,5.0,4.0,5.0,4.33,4.67,4.33,4.64,4.33,4.67
000033.png,25,European fire salamander,4.17,5.0,4.29,4.0,5.0,5.0,4.49,4.67,4.5,4.67,4.49,4.67
000034.png,25,European fire salamander,4.0,4.0,3.57,4.0,3.0,4.0,3.52,4.0,3.52,4.0,3.52,4.0
000035.png,25,European fire salamander,4.0,3.0,2.86,3.0,5.0,5.0,3.95,3.67,3.98,3.54,3.95,3.67
000036.png,25,European fire salamander,3.33,3.0,2.86,2.0,5.0,4.0,3.73,3.0,3.73,2.9,3.73,3.0
000037.png,25,European fire salamander,2.86,3.0,2.14,2.0,3.75,3.0,2.92,2.67,2.9,2.62,2.92,2.67
000038.png,25,European fire salamander,4.17,5.0,4.29,4.0,4.29,5.0,4.25,4.67,4.26,4.67,4.25,4.67
000039.png,25,European fire salamander,2.14,2.0,2.14,2.0,5.0,4.0,3.09,2.67,3.06,2.51,3.09,2.67
000040.png,35,mud turtle,4.17,4.0,4.0,4.0,4.17,5.0,4.11,4.33,4.13,4.28,4.11,4.33
000041.png,35,mud turtle,5.0,3.0,0.0,1.0,4.0,3.0,3.0,2.33,3.08,2.26,3.0,2.33
000042.png,35,mud turtle,3.33,3.0,2.0,2.0,5.0,5.0,3.44,3.33,3.45,3.18,3.44,3.33
000043.png,35,mud turtle,5.0,4.0,5.0,5.0,4.29,4.0,4.76,4.33,4.8,4.36,4.76,4.33
000044.png,35,mud turtle,2.5,3.0,5.0,5.0,5.0,4.0,4.17,4.0,4.11,3.97,4.17,4.0
000045.png,35,mud turtle,5.0,3.0,5.0,5.0,4.0,5.0,4.67,4.33,4.7,4.25,4.67,4.33
000046.png,35,mud turtle,4.17,5.0,4.0,5.0,2.5,4.0,3.56,4.67,3.55,4.74,3.56,4.67
000047.png,35,mud turtle,4.17,3.0,2.5,4.0,4.17,4.0,3.61,3.67,3.64,3.61,3.61,3.67
000048.png,35,mud turtle,4.0,4.0,5.0,4.0,0.0,3.0,3.0,3.67,2.96,3.72,3.0,3.67
000049.png,35,mud turtle,4.38,3.0,3.57,3.0,3.33,2.0,3.76,2.67,3.78,2.69,3.76,2.67
000050.png,39,common iguana,3.75,4.0,5.0,4.0,4.38,5.0,4.38,4.33,4.37,4.28,4.38,4.33
000051.png,39,common iguana,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.04,5.03,5.0,5.0
000052.png,39,common iguana,4.29,2.0,1.88,3.0,4.29,5.0,3.49,3.33,3.53,3.15,3.49,3.33
000053.png,39,common iguana,5.0,4.0,1.88,3.0,4.0,4.0,3.63,3.67,3.69,3.64,3.63,3.67
000054.png,39,common iguana,4.29,4.0,1.25,2.0,5.0,3.0,3.51,3.0,3.56,3.0,3.51,3.0
000055.png,39,common iguana,2.22,3.0,0.56,3.0,3.33,3.0,2.04,3.0,2.0,2.97,2.04,3.0
000056.png,39,common iguana,5.0,5.0,3.33,3.0,5.0,4.0,4.44,4.0,4.5,4.03,4.44,4.0
000057.png,39,common iguana,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.04,5.03,5.0,5.0
000058.png,39,common iguana,5.0,4.0,3.89,4.0,5.0,5.0,4.63,4.33,4.68,4.28,4.63,4.33
000059.png,39,common iguana,5.0,5.0,5.0,3.0,2.5,3.0,4.17,3.67,4.19,3.74,4.17,3.67
000060.png,49,African crocodile,4.17,5.0,3.0,4.0,3.0,5.0,3.39,4.67,3.4,4.67,3.39,4.67
000061.png,49,African crocodile,5.0,5.0,3.75,4.0,5.0,5.0,4.58,4.67,4.64,4.67,4.58,4.67
000062.png,49,African crocodile,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.04,5.03,5.0,5.0
000063.png,49,African crocodile,4.38,4.0,4.29,4.0,2.5,4.0,3.72,4.0,3.73,4.0,3.72,4.0
000064.png,49,African crocodile,3.33,2.0,1.0,2.0,2.0,4.0,2.11,2.67,2.1,2.51,2.11,2.67
000065.png,49,African crocodile,3.57,2.0,0.0,1.0,0.0,0.0,1.19,1.0,1.18,1.02,1.19,1.0
000066.png,49,African crocodile,3.75,3.0,0.5,2.0,4.0,4.0,2.75,3.0,2.78,2.9,2.75,3.0
000067.png,49,African crocodile,4.44,4.0,3.89,5.0,3.5,5.0,3.94,4.67,3.96,4.64,3.94,4.67
000068.png,49,African crocodile,4.38,3.0,3.0,4.0,2.78,3.0,3.39,3.33,3.4,3.33,3.39,3.33
000069.png,49,African crocodile,5.0,3.0,4.17,3.0,5.0,4.0,4.72,3.33,4.77,3.26,4.72,3.33
000070.png,51,triceratops,4.0,3.0,2.14,3.0,2.5,3.0,2.88,3.0,2.89,2.97,2.88,3.0
000071.png,51,triceratops,1.88,4.0,0.0,2.0,0.0,0.0,0.63,2.0,0.56,2.15,0.63,2.0
000072.png,51,triceratops,3.75,4.0,5.0,5.0,5.0,4.0,4.58,4.33,4.58,4.36,4.58,4.33
000073.png,51,triceratops,4.0,4.0,5.0,4.0,4.0,4.0,4.33,4.0,4.33,4.0,4.33,4.0
000074.png,51,triceratops,3.75,5.0,5.0,5.0,5.0,4.0,4.58,4.67,4.58,4.74,4.58,4.67
000075.png,51,triceratops,4.38,3.0,5.0,5.0,3.12,5.0,4.17,4.33,4.17,4.25,4.17,4.33
000076.png,51,triceratops,3.57,4.0,3.57,4.0,5.0,4.0,4.05,4.0,4.05,4.0,4.05,4.0
000077.png,51,triceratops,4.29,4.0,5.0,4.0,4.29,4.0,4.53,4.0,4.53,4.0,4.53,4.0
000078.png,51,triceratops,3.0,4.0,0.0,1.0,0.0,0.0,1.0,1.67,0.97,1.79,1.0,1.67
000079.png,51,triceratops,5.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,4.07,4.03,4.0,4.0
000080.png,52,thunder snake,4.17,4.0,5.0,4.0,2.86,5.0,4.01,4.33,4.0,4.28,4.01,4.33
000081.png,52,thunder snake,3.57,4.0,4.29,5.0,4.0,4.0,3.95,4.33,3.94,4.36,3.95,4.33
000082.png,52,thunder snake,3.57,3.0,0.0,1.0,0.0,0.0,1.19,1.33,1.18,1.41,1.19,1.33
000083.png,52,thunder snake,3.57,3.0,0.0,1.0,0.0,0.0,1.19,1.33,1.18,1.41,1.19,1.33
000084.png,52,thunder snake,3.75,4.0,3.12,4.0,5.0,2.0,3.96,3.33,3.97,3.43,3.96,3.33
000085.png,52,thunder snake,4.29,5.0,5.0,5.0,4.17,4.0,4.49,4.67,4.49,4.74,4.49,4.67
000086.png,52,thunder snake,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.67,5.04,4.74,5.0,4.67
000087.png,52,thunder snake,4.29,4.0,5.0,4.0,5.0,1.0,4.76,3.0,4.78,3.15,4.76,3.0
000088.png,52,thunder snake,5.0,4.0,4.29,4.0,4.0,4.0,4.43,4.0,4.47,4.0,4.43,4.0
000089.png,52,thunder snake,3.33,1.0,0.0,1.0,1.88,4.0,1.74,2.0,1.74,1.77,1.74,2.0
000090.png,64,green mamba,4.29,4.0,5.0,4.0,5.0,3.0,4.76,3.67,4.78,3.72,4.76,3.67
000091.png,64,green mamba,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.04,5.03,5.0,5.0
000092.png,64,green mamba,5.0,4.0,3.12,3.0,2.14,3.0,3.42,3.33,3.45,3.36,3.42,3.33
000093.png,64,green mamba,5.0,5.0,4.38,4.0,4.38,5.0,4.59,4.67,4.63,4.67,4.59,4.67
000094.png,64,green mamba,5.0,3.0,2.5,3.0,2.78,1.0,3.43,2.33,3.47,2.4,3.43,2.33
000095.png,64,green mamba,5.0,5.0,4.38,4.0,3.33,5.0,4.24,4.67,4.27,4.67,4.24,4.67
000096.png,64,green mamba,5.0,3.0,4.17,4.0,4.17,5.0,4.45,4.0,4.49,3.9,4.45,4.0
000097.png,64,green mamba,5.0,5.0,4.38,4.0,4.38,4.0,4.59,4.33,4.63,4.39,4.59,4.33
000098.png,64,green mamba,5.0,4.0,5.0,3.0,4.0,4.0,4.67,3.67,4.7,3.64,4.67,3.67
000099.png,64,green mamba,5.0,5.0,5.0,5.0,3.33,5.0,4.44,5.0,4.47,5.03,4.44,5.0
000100.png,80,black grouse,2.0,2.0,1.11,2.0,0.0,0.0,1.04,1.33,0.96,1.38,1.04,1.33
000101.png,80,black grouse,4.38,4.0,2.5,3.0,2.14,4.0,3.01,3.67,3.02,3.64,3.01,3.67
000102.png,80,black grouse,5.0,5.0,2.22,4.0,1.11,4.0,2.78,4.33,2.81,4.39,2.78,4.33
000103.png,80,black grouse,4.38,3.0,3.33,4.0,3.12,1.0,3.61,2.67,3.63,2.76,3.61,2.67
000104.png,80,black grouse,3.33,5.0,1.67,5.0,3.33,4.0,2.78,4.67,2.77,4.74,2.78,4.67
000105.png,80,black grouse,4.38,3.0,4.44,5.0,3.57,4.0,4.13,4.0,4.14,3.97,4.13,4.0
000106.png,80,black grouse,5.0,5.0,3.89,5.0,3.75,5.0,4.21,5.0,4.25,5.03,4.21,5.0
000107.png,80,black grouse,5.0,4.0,1.67,4.0,2.14,3.0,2.94,3.67,2.99,3.72,2.94,3.67
000108.png,80,black grouse,5.0,5.0,4.44,5.0,5.0,5.0,4.81,5.0,4.86,5.03,4.81,5.0
000109.png,80,black grouse,4.38,4.0,2.78,5.0,2.78,4.0,3.31,4.33,3.33,4.36,3.31,4.33
000110.png,97,drake,3.33,3.0,4.17,4.0,3.33,2.0,3.61,3.0,3.58,3.05,3.61,3.0
000111.png,97,drake,2.5,5.0,1.67,4.0,2.5,4.0,2.22,4.33,2.18,4.39,2.22,4.33
000112.png,97,drake,5.0,5.0,5.0,5.0,4.17,5.0,4.72,5.0,4.76,5.03,4.72,5.0
000113.png,97,drake,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.33,5.04,4.36,5.0,4.33
000114.png,97,drake,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.33,5.04,4.28,5.0,4.33
000115.png,97,drake,4.29,4.0,2.86,4.0,4.29,3.0,3.81,3.67,3.84,3.72,3.81,3.67
000116.png,97,drake,5.0,4.0,5.0,4.0,4.0,5.0,4.67,4.33,4.7,4.28,4.67,4.33
000117.png,97,drake,5.0,5.0,4.17,5.0,4.0,4.0,4.39,4.67,4.43,4.74,4.39,4.67
000118.png,97,drake,5.0,4.0,4.17,5.0,5.0,5.0,4.72,4.67,4.77,4.64,4.72,4.67
000119.png,97,drake,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.67,5.04,4.67,5.0,4.67
000120.png,106,wombat,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.04,5.03,5.0,5.0
000121.png,106,wombat,4.38,5.0,4.38,4.0,4.38,4.0,4.38,4.33,4.4,4.39,4.38,4.33
000122.png,106,wombat,5.0,5.0,5.0,5.0,4.17,5.0,4.72,5.0,4.76,5.03,4.72,5.0
000123.png,106,wombat,5.0,5.0,5.0,5.0,2.86,4.0,4.29,4.67,4.31,4.74,4.29,4.67
000124.png,106,wombat,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.67,-0.14,4.74,0.0,4.67
000125.png,106,wombat,4.29,3.0,3.33,2.0,2.5,2.0,3.37,2.33,3.38,2.33,3.37,2.33
000126.png,106,wombat,4.38,3.0,4.38,4.0,3.12,1.0,3.96,2.67,3.97,2.76,3.96,2.67
000127.png,106,wombat,5.0,4.0,4.38,5.0,5.0,4.0,4.79,4.33,4.84,4.36,4.79,4.33
000128.png,106,wombat,5.0,5.0,3.12,4.0,5.0,5.0,4.37,4.67,4.43,4.67,4.37,4.67
000129.png,106,wombat,5.0,4.0,4.44,4.0,3.75,4.0,4.4,4.0,4.43,4.0,4.4,4.0
000130.png,116,chiton,5.0,4.0,5.0,5.0,0.0,0.0,3.33,3.0,3.33,3.22,3.33,3.0
000131.png,116,chiton,3.57,4.0,4.44,5.0,5.0,5.0,4.34,4.67,4.33,4.64,4.34,4.67
000132.png,116,chiton,0.0,5.0,0.0,2.0,5.0,3.0,1.67,3.33,1.57,3.39,1.67,3.33
000133.png,116,chiton,0.0,5.0,4.44,3.0,2.5,5.0,2.31,4.33,2.15,4.31,2.31,4.33
000134.png,116,chiton,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.33,5.04,4.36,5.0,4.33
000135.png,116,chiton,4.29,5.0,5.0,3.0,3.89,5.0,4.39,4.33,4.4,4.31,4.39,4.33
000136.png,116,chiton,4.29,5.0,5.0,4.0,3.89,5.0,4.39,4.67,4.4,4.67,4.39,4.67
000137.png,116,chiton,0.0,4.0,3.89,3.0,0.0,5.0,1.3,4.0,1.12,3.93,1.3,4.0
000138.png,116,chiton,4.38,5.0,5.0,5.0,3.89,5.0,4.42,5.0,4.43,5.03,4.42,5.0
000139.png,116,chiton,4.29,4.0,4.44,3.0,2.78,4.0,3.84,3.67,3.84,3.64,3.84,3.67
000140.png,118,Dungeness crab,4.44,5.0,4.44,5.0,2.78,4.0,3.89,4.67,3.89,4.74,3.89,4.67
000141.png,118,Dungeness crab,5.0,5.0,4.38,4.0,2.78,5.0,4.05,4.67,4.08,4.67,4.05,4.67
000142.png,118,Dungeness crab,4.17,5.0,3.57,3.0,3.33,3.0,3.69,3.67,3.7,3.74,3.69,3.67
000143.png,118,Dungeness crab,2.22,2.0,0.0,3.0,2.78,1.0,1.67,2.0,1.64,2.02,1.67,2.0
000144.png,118,Dungeness crab,3.12,3.0,0.0,2.0,2.22,2.0,1.78,2.33,1.78,2.33,1.78,2.33
000145.png,118,Dungeness crab,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.67,5.04,4.74,5.0,4.67
000146.png,118,Dungeness crab,3.75,3.0,3.12,3.0,3.33,3.0,3.4,3.0,3.4,2.97,3.4,3.0
000147.png,118,Dungeness crab,1.11,2.0,0.0,1.0,0.0,0.0,0.37,1.0,0.27,1.02,0.37,1.0
000148.png,118,Dungeness crab,3.75,4.0,3.12,3.0,3.89,2.0,3.59,3.0,3.59,3.07,3.59,3.0
000149.png,118,Dungeness crab,0.0,5.0,0.0,5.0,0.56,3.0,0.19,4.33,0.05,4.46,0.19,4.33
000150.png,129,spoonbill,1.67,2.0,1.67,3.0,1.11,2.0,1.48,2.33,1.4,2.3,1.48,2.33
000151.png,129,spoonbill,5.0,5.0,4.29,5.0,2.78,5.0,4.02,5.0,4.05,5.03,4.02,5.0
000152.png,129,spoonbill,3.75,3.0,2.86,3.0,1.11,3.0,2.57,3.0,2.56,2.97,2.57,3.0
000153.png,129,spoonbill,4.29,3.0,2.5,4.0,2.22,4.0,3.0,3.67,3.02,3.61,3.0,3.67
000154.png,129,spoonbill,5.0,4.0,2.78,4.0,3.89,5.0,3.89,4.33,3.94,4.28,3.89,4.33
000155.png,129,spoonbill,4.38,5.0,4.29,5.0,2.78,5.0,3.82,5.0,3.82,5.03,3.82,5.0
000156.png,129,spoonbill,4.38,5.0,3.57,4.0,2.78,5.0,3.58,4.67,3.59,4.67,3.58,4.67
000157.png,129,spoonbill,5.0,5.0,5.0,5.0,4.0,5.0,4.67,5.0,4.7,5.03,4.67,5.0
000158.png,129,spoonbill,4.38,3.0,4.17,4.0,3.33,3.0,3.96,3.33,3.97,3.33,3.96,3.33
000159.png,129,spoonbill,5.0,4.0,4.17,4.0,2.78,5.0,3.98,4.33,4.01,4.28,3.98,4.33
000160.png,144,pelican,4.38,5.0,5.0,5.0,4.29,5.0,4.56,5.0,4.57,5.03,4.56,5.0
000161.png,144,pelican,4.44,4.0,3.89,4.0,3.33,3.0,3.89,3.67,3.9,3.72,3.89,3.67
000162.png,144,pelican,3.57,3.0,1.11,3.0,3.57,3.0,2.75,3.0,2.76,2.97,2.75,3.0
000163.png,144,pelican,5.0,3.0,2.78,3.0,4.17,4.0,3.98,3.33,4.04,3.26,3.98,3.33
000164.png,144,pelican,4.38,4.0,2.22,3.0,3.57,3.0,3.39,3.33,3.42,3.36,3.39,3.33
000165.png,144,pelican,2.5,5.0,5.0,3.0,5.0,3.0,4.17,3.67,4.11,3.74,4.17,3.67
000166.png,144,pelican,4.44,4.0,3.33,3.0,4.44,4.0,4.07,3.67,4.1,3.64,4.07,3.67
000167.png,144,pelican,5.0,4.0,1.67,4.0,2.86,2.0,3.18,3.33,3.23,3.43,3.18,3.33
000168.png,144,pelican,4.29,4.0,0.56,2.0,1.11,3.0,1.99,3.0,2.01,3.0,1.99,3.0
000169.png,144,pelican,4.38,5.0,2.78,4.0,4.38,3.0,3.85,4.0,3.88,4.1,3.85,4.0
000170.png,147,grey whale,5.0,4.0,0.0,2.0,0.0,3.0,1.67,3.0,1.71,3.0,1.67,3.0
000171.png,147,grey whale,5.0,4.0,0.0,3.0,0.0,3.0,1.67,3.33,1.71,3.36,1.67,3.33
000172.png,147,grey whale,5.0,4.0,2.5,5.0,0.56,4.0,2.69,4.33,2.71,4.36,2.69,4.33
000173.png,147,grey whale,5.0,4.0,3.0,5.0,1.11,4.0,3.04,4.33,3.06,4.36,3.04,4.33
000174.png,147,grey whale,5.0,4.0,0.0,4.0,1.67,5.0,2.22,4.33,2.28,4.28,2.22,4.33
000175.png,147,grey whale,5.0,5.0,4.0,4.0,1.67,5.0,3.56,4.67,3.58,4.67,3.56,4.67
000176.png,147,grey whale,5.0,5.0,3.75,4.0,1.67,5.0,3.47,4.67,3.5,4.67,3.47,4.67
000177.png,147,grey whale,0.0,5.0,0.0,2.0,0.0,1.0,0.0,2.67,-0.14,2.82,0.0,2.67
000178.png,147,grey whale,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.33,-0.14,2.46,0.0,2.33
000179.png,147,grey whale,3.75,3.0,3.33,5.0,1.11,5.0,2.73,4.33,2.71,4.25,2.73,4.33
000180.png,150,sea lion,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.33,-0.14,1.31,0.0,1.33
000181.png,150,sea lion,5.0,5.0,4.29,5.0,3.12,5.0,4.14,5.0,4.17,5.03,4.14,5.0
000182.png,150,sea lion,4.29,3.0,3.33,3.0,3.12,5.0,3.58,3.67,3.59,3.54,3.58,3.67
000183.png,150,sea lion,3.12,2.0,1.67,3.0,3.12,4.0,2.64,3.0,2.62,2.87,2.64,3.0
000184.png,150,sea lion,0.0,4.0,0.0,2.0,0.0,4.0,0.0,3.33,-0.14,3.29,0.0,3.33
000185.png,150,sea lion,5.0,3.0,5.0,3.0,3.89,3.0,4.63,3.0,4.66,2.97,4.63,3.0
000186.png,150,sea lion,3.33,4.0,0.0,2.0,1.11,4.0,1.48,3.33,1.47,3.29,1.48,3.33
000187.png,150,sea lion,2.78,3.0,0.0,3.0,1.67,4.0,1.48,3.33,1.46,3.26,1.48,3.33
000188.png,150,sea lion,4.38,3.0,2.22,3.0,3.33,3.0,3.31,3.0,3.34,2.97,3.31,3.0
000189.png,150,sea lion,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.33,-0.14,1.38,0.0,1.33
000190.png,156,Blenheim spaniel,4.17,5.0,5.0,5.0,2.5,4.0,3.89,4.67,3.88,4.74,3.89,4.67
000191.png,156,Blenheim spaniel,4.17,5.0,5.0,5.0,3.75,5.0,4.31,5.0,4.31,5.03,4.31,5.0
000192.png,156,Blenheim spaniel,3.57,5.0,5.0,5.0,3.12,5.0,3.9,5.0,3.87,5.03,3.9,5.0
000193.png,156,Blenheim spaniel,4.17,5.0,5.0,4.0,2.5,3.0,3.89,4.0,3.88,4.1,3.89,4.0
000194.png,156,Blenheim spaniel,4.17,5.0,5.0,5.0,5.0,5.0,4.72,5.0,4.73,5.03,4.72,5.0
000195.png,156,Blenheim spaniel,3.89,4.0,4.44,5.0,4.44,4.0,4.26,4.33,4.26,4.36,4.26,4.33
000196.png,156,Blenheim spaniel,3.75,4.0,3.75,4.0,0.0,0.0,2.5,2.67,2.46,2.86,2.5,2.67
000197.png,156,Blenheim spaniel,3.33,3.0,1.25,3.0,0.0,0.0,1.53,2.0,1.5,2.12,1.53,2.0
000198.png,156,Blenheim spaniel,4.17,4.0,3.12,4.0,1.11,3.0,2.8,3.67,2.79,3.72,2.8,3.67
000199.png,156,Blenheim spaniel,3.89,4.0,5.0,4.0,4.44,5.0,4.44,4.33,4.44,4.28,4.44,4.33
000200.png,159,Rhodesian ridgeback,5.0,4.0,3.75,4.0,4.0,5.0,4.25,4.33,4.29,4.28,4.25,4.33
000201.png,159,Rhodesian ridgeback,5.0,5.0,5.0,5.0,4.29,5.0,4.76,5.0,4.8,5.03,4.76,5.0
000202.png,159,Rhodesian ridgeback,5.0,5.0,5.0,5.0,4.29,5.0,4.76,5.0,4.8,5.03,4.76,5.0
000203.png,159,Rhodesian ridgeback,5.0,4.0,5.0,5.0,3.75,5.0,4.58,4.67,4.61,4.64,4.58,4.67
000204.png,159,Rhodesian ridgeback,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.04,5.03,5.0,5.0
000205.png,159,Rhodesian ridgeback,3.75,3.0,5.0,4.0,2.5,3.0,3.75,3.33,3.72,3.33,3.75,3.33
000206.png,159,Rhodesian ridgeback,2.86,2.0,1.25,1.0,3.57,3.0,2.56,2.0,2.55,1.87,2.56,2.0
000207.png,159,Rhodesian ridgeback,5.0,3.0,3.89,4.0,4.0,5.0,4.3,4.0,4.34,3.9,4.3,4.0
000208.png,159,Rhodesian ridgeback,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.67,5.04,4.64,5.0,4.67
000209.png,159,Rhodesian ridgeback,5.0,2.0,2.86,2.0,0.0,0.0,2.62,1.33,2.64,1.38,2.62,1.33
000210.png,281,tabby cat,5.0,4.0,5.0,4.0,3.57,3.0,4.52,3.67,4.55,3.72,4.52,3.67
000211.png,281,tabby cat,5.0,5.0,3.57,4.0,3.57,3.0,4.05,4.0,4.09,4.1,4.05,4.0
000212.png,281,tabby cat,5.0,5.0,5.0,5.0,3.12,4.0,4.37,4.67,4.4,4.74,4.37,4.67
000213.png,281,tabby cat,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.67,5.04,4.64,5.0,4.67
000214.png,281,tabby cat,5.0,4.0,3.33,4.0,4.29,4.0,4.21,4.0,4.26,4.0,4.21,4.0
000215.png,281,tabby cat,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.04,5.03,5.0,5.0
000216.png,281,tabby cat,5.0,4.0,5.0,5.0,3.57,4.0,4.52,4.33,4.55,4.36,4.52,4.33
000217.png,281,tabby cat,4.17,2.0,4.17,4.0,2.86,3.0,3.73,3.0,3.73,2.94,3.73,3.0
000218.png,281,tabby cat,5.0,3.0,5.0,4.0,3.75,3.0,4.58,3.33,4.61,3.33,4.58,3.33
000219.png,281,tabby cat,1.88,5.0,3.57,5.0,2.5,4.0,2.65,4.67,2.57,4.74,2.65,4.67
000220.png,300,tiger beetle,1.88,2.0,0.0,2.0,0.0,0.0,0.63,1.33,0.56,1.38,0.63,1.33
000221.png,300,tiger beetle,4.17,4.0,3.75,5.0,1.25,5.0,3.06,4.67,3.05,4.64,3.06,4.67
000222.png,300,tiger beetle,5.0,5.0,5.0,5.0,4.38,5.0,4.79,5.0,4.83,5.03,4.79,5.0
000223.png,300,tiger beetle,4.29,5.0,3.12,4.0,3.75,5.0,3.72,4.67,3.74,4.67,3.72,4.67
000224.png,300,tiger beetle,5.0,5.0,4.38,5.0,4.38,5.0,4.59,5.0,4.63,5.03,4.59,5.0
000225.png,300,tiger beetle,5.0,3.0,3.75,4.0,5.0,4.0,4.58,3.67,4.64,3.61,4.58,3.67
000226.png,300,tiger beetle,5.0,5.0,5.0,5.0,4.38,5.0,4.79,5.0,4.83,5.03,4.79,5.0
