image_name,class_id,class_name,User_1_artifact,User_2_artifact,User_3_artifact,artifact_mean,artifact_max-min
000425.png,426,barometer,2,3,0,1.67,3
000402.png,419,Band Aid,2,3,0,1.67,3
000400.png,419,Band Aid,3,2,5,3.33,3
000406.png,419,Band Aid,3,3,0,2.0,3
000403.png,419,Band Aid,2,3,0,1.67,3
000250.png,333,hamster,3,2,0,1.67,3
000384.png,413,assault rifle,1,4,4,3.0,3
000358.png,400,academic gown,1,3,0,1.33,3
000359.png,400,academic gown,5,4,2,3.67,3
000333.png,394,sturgeon,2,5,2,3.0,3
000348.png,396,lionfish,1,0,3,1.33,3
000352.png,400,academic gown,2,4,1,2.33,3
000353.png,400,academic gown,2,3,0,1.67,3
000938.png,972,cliff,4,4,1,3.0,3
000319.png,389,barracouta,2,5,2,3.0,3
000052.png,39,common iguana,2,3,5,3.33,3
000042.png,35,mud turtle,3,2,5,3.33,3
000035.png,25,European fire salamander,3,3,5,3.67,2
000036.png,25,European fire salamander,3,2,4,3.0,2
000039.png,25,European fire salamander,2,2,4,2.67,2
000041.png,35,mud turtle,3,1,3,2.33,2
000044.png,35,mud turtle,3,5,4,4.0,2
000045.png,35,mud turtle,3,5,5,4.33,2
000054.png,39,common iguana,4,2,3,3.0,2
000056.png,39,common iguana,5,3,4,4.0,2
000059.png,39,common iguana,5,3,3,3.67,2
000064.png,49,African crocodile,2,2,4,2.67,2
000065.png,49,African crocodile,2,1,0,1.0,2
000066.png,49,African crocodile,3,2,4,3.0,2
000075.png,51,triceratops,3,5,5,4.33,2
000937.png,972,cliff,5,4,3,4.0,2
000939.png,972,cliff,5,3,4,4.0,2
000946.png,981,ballplayer,3,2,1,2.0,2
000948.png,981,ballplayer,3,3,1,2.33,2
000951.png,982,groom,2,3,1,2.0,2
000954.png,982,groom,3,3,1,2.33,2
000957.png,982,groom,2,3,1,2.0,2
000960.png,983,scuba diver,5,4,3,4.0,2
000969.png,983,scuba diver,1,2,0,1.0,2
000974.png,985,daisy,5,5,3,4.33,2
000975.png,985,daisy,5,5,3,4.33,2
000979.png,985,daisy,5,5,3,4.33,2
000323.png,392,rock beauty,2,4,3,3.0,2
000325.png,392,rock beauty,4,5,3,4.0,2
000329.png,392,rock beauty,2,4,3,3.0,2
000334.png,394,sturgeon,2,1,0,1.0,2
000337.png,394,sturgeon,2,1,0,1.0,2
000342.png,396,lionfish,3,3,5,3.67,2
000344.png,396,lionfish,5,3,5,4.33,2
000347.png,396,lionfish,4,2,4,3.33,2
000355.png,400,academic gown,1,2,0,1.0,2
000357.png,400,academic gown,1,3,1,1.67,2
000364.png,405,airship,3,5,4,4.0,2
000373.png,406,altar,3,1,3,2.33,2
000374.png,406,altar,4,2,3,3.0,2
000382.png,413,assault rifle,3,2,4,3.0,2
000387.png,413,assault rifle,3,4,5,4.0,2
000394.png,415,bakery,3,5,3,3.67,2
000414.png,421,bannister,2,2,0,1.33,2
000244.png,330,wood rabbit,3,5,4,4.0,2
000246.png,330,wood rabbit,4,4,2,3.33,2
000247.png,330,wood rabbit,3,4,2,3.0,2
000254.png,333,hamster,3,5,5,4.33,2
000257.png,333,hamster,5,4,3,4.0,2
000262.png,339,sorrel,4,3,5,4.0,2
000278.png,347,bison,5,4,3,4.0,2
000279.png,347,bison,2,2,0,1.33,2
000281.png,356,weasel,3,3,5,3.67,2
000290.png,365,orangutan,4,3,2,3.0,2
000311.png,389,barracouta,2,4,3,3.0,2
000313.png,389,barracouta,2,0,0,0.67,2
000316.png,389,barracouta,5,5,3,4.33,2
000430.png,429,baseball,3,4,5,4.0,2
000432.png,429,baseball,3,4,5,4.0,2
000443.png,432,bassoon,2,2,0,1.33,2
000453.png,443,bib,1,3,3,2.33,2
000457.png,443,bib,3,4,5,4.0,2
000459.png,443,bib,3,4,5,4.0,2
000471.png,453,bookcase,3,4,5,4.0,2
000472.png,453,bookcase,3,5,5,4.33,2
000486.png,461,breastplate,3,2,4,3.0,2
000490.png,477,carpenter's kit,3,3,5,3.67,2
000493.png,477,carpenter's kit,3,4,5,4.0,2
000494.png,477,carpenter's kit,3,4,5,4.0,2
000503.png,479,car wheel,3,3,5,3.67,2
000504.png,479,car wheel,3,3,5,3.67,2
000506.png,479,car wheel,3,3,5,3.67,2
000507.png,479,car wheel,3,3,5,3.67,2
000513.png,481,cassette,3,2,1,2.0,2
000516.png,481,cassette,3,4,5,4.0,2
000520.png,488,chain,3,2,4,3.0,2
000527.png,488,chain,3,3,5,3.67,2
000534.png,499,cleaver,0,0,2,0.67,2
000535.png,499,cleaver,3,2,4,3.0,2
000537.png,499,cleaver,3,4,5,4.0,2
000538.png,499,cleaver,3,3,5,3.67,2
000545.png,529,diaper,4,3,5,4.0,2
000548.png,529,diaper,5,3,5,4.33,2
000549.png,529,diaper,3,3,5,3.67,2
000551.png,535,disk brake,3,3,5,3.67,2
000556.png,535,disk brake,3,5,4,4.0,2
000567.png,554,fireboat,4,3,5,4.0,2
000572.png,567,frying pan,3,4,5,4.0,2
000576.png,567,frying pan,3,5,5,4.33,2
000579.png,567,frying pan,4,3,5,4.0,2
000595.png,585,hair spray,1,2,0,1.0,2
000601.png,590,hand-held computer,3,5,5,4.33,2
000607.png,590,hand-held computer,1,2,0,1.0,2
000615.png,605,iPod,4,3,5,4.0,2
000617.png,605,iPod,2,2,4,2.67,2
000619.png,605,iPod,3,3,5,3.67,2
000623.png,606,iron,4,3,5,4.0,2
000625.png,606,iron,3,5,5,4.33,2
000626.png,606,iron,4,2,4,3.33,2
000182.png,150,sea lion,3,3,5,3.67,2
000183.png,150,sea lion,2,3,4,3.0,2
000184.png,150,sea lion,4,2,4,3.33,2
000186.png,150,sea lion,4,2,4,3.33,2
000189.png,150,sea lion,2,2,0,1.33,2
000193.png,156,Blenheim spaniel,5,4,3,4.0,2
000206.png,159,Rhodesian ridgeback,2,1,3,2.0,2
000207.png,159,Rhodesian ridgeback,3,4,5,4.0,2
000209.png,159,Rhodesian ridgeback,2,2,0,1.33,2
000211.png,281,tabby cat,5,4,3,4.0,2
000217.png,281,tabby cat,2,4,3,3.0,2
000220.png,300,tiger beetle,2,2,0,1.33,2
000240.png,330,wood rabbit,5,5,3,4.33,2
000638.png,626,lighter,3,4,5,4.0,2
000641.png,632,loudspeaker,3,5,4,4.0,2
000644.png,632,loudspeaker,4,2,4,3.33,2
000645.png,632,loudspeaker,2,1,0,1.0,2
000646.png,632,loudspeaker,3,4,5,4.0,2
000649.png,632,loudspeaker,2,3,4,3.0,2
000660.png,634,lumbermill,4,3,2,3.0,2
000662.png,634,lumbermill,5,3,3,3.67,2
000664.png,634,lumbermill,3,2,4,3.0,2
000666.png,634,lumbermill,3,3,5,3.67,2
000669.png,634,lumbermill,2,1,3,2.0,2
000670.png,645,maypole,2,4,2,2.67,2
000671.png,645,maypole,1,3,2,2.0,2
000673.png,645,maypole,3,4,2,3.0,2
000677.png,645,maypole,2,4,2,2.67,2
000679.png,645,maypole,3,5,4,4.0,2
000689.png,654,minibus,4,3,5,4.0,2
000694.png,679,necklace,3,2,4,3.0,2
000700.png,687,organ,4,3,5,4.0,2
000701.png,687,organ,3,3,5,3.67,2
000704.png,687,organ,4,2,4,3.33,2
000706.png,687,organ,4,2,4,3.33,2
000707.png,687,organ,4,3,5,4.0,2
000709.png,687,organ,3,3,5,3.67,2
000711.png,730,plow,4,3,5,4.0,2
000715.png,730,plow,4,3,5,4.0,2
000718.png,730,plow,4,2,2,2.67,2
000719.png,730,plow,4,3,5,4.0,2
000724.png,743,prison,4,2,4,3.33,2
000726.png,743,prison,2,2,4,2.67,2
000728.png,743,prison,3,3,5,3.67,2
000729.png,743,prison,2,1,3,2.0,2
000733.png,746,puck,3,2,4,3.0,2
000734.png,746,puck,1,2,3,2.0,2
000738.png,746,puck,1,3,2,2.0,2
000743.png,755,radio telescope,4,3,2,3.0,2
000744.png,755,radio telescope,4,3,2,3.0,2
000745.png,755,radio telescope,3,2,1,2.0,2
000746.png,755,radio telescope,4,3,5,4.0,2
000747.png,755,radio telescope,3,3,1,2.33,2
000758.png,756,rain barrel,3,3,5,3.67,2
000798.png,836,sunglass,4,3,2,3.0,2
000813.png,917,comic book,4,4,2,3.33,2
000818.png,917,comic book,3,1,1,1.67,2
000822.png,919,street sign,4,3,5,4.0,2
000827.png,919,street sign,4,3,2,3.0,2
000837.png,920,traffic light,2,4,3,3.0,2
000839.png,920,traffic light,4,3,5,4.0,2
000841.png,922,menu,2,3,4,3.0,2
000843.png,922,menu,3,5,5,4.33,2
000133.png,116,chiton,5,3,5,4.33,2
000135.png,116,chiton,5,3,5,4.33,2
000137.png,116,chiton,4,3,5,4.0,2
000142.png,118,Dungeness crab,5,3,3,3.67,2
000143.png,118,Dungeness crab,2,3,1,2.0,2
000147.png,118,Dungeness crab,2,1,0,1.0,2
000148.png,118,Dungeness crab,4,3,2,3.0,2
000149.png,118,Dungeness crab,5,5,3,4.33,2
000165.png,144,pelican,5,3,3,3.67,2
000167.png,144,pelican,4,4,2,3.33,2
000168.png,144,pelican,4,2,3,3.0,2
000169.png,144,pelican,5,4,3,4.0,2
000170.png,147,grey whale,4,2,3,3.0,2
000179.png,147,grey whale,3,5,5,4.33,2
000079.png,51,triceratops,5,3,4,4.0,2
000084.png,52,thunder snake,4,4,2,3.33,2
000094.png,64,green mamba,3,3,1,2.33,2
000096.png,64,green mamba,3,4,5,4.0,2
000100.png,80,black grouse,2,2,0,1.33,2
000105.png,80,black grouse,3,5,4,4.0,2
000110.png,97,drake,3,4,2,3.0,2
000857.png,928,ice cream,4,4,2,3.33,2
000864.png,931,bagel,4,4,2,3.33,2
000873.png,943,cucumber,4,3,2,3.0,2
000878.png,943,cucumber,4,3,5,4.0,2
000888.png,952,fig,4,3,2,3.0,2
000889.png,952,fig,5,3,4,4.0,2
000893.png,960,chocolate sauce,5,4,3,4.0,2
000927.png,971,bubble,2,3,1,2.0,2
000982.png,991,coral fungus,5,3,4,4.0,2
000029.png,10,brambling,4,4,2,3.33,2
000028.png,10,brambling,4,2,2,2.67,2
000017.png,7,cock,4,4,2,3.33,2
000009.png,4,hammerhead,5,3,3,3.67,2
000000.png,4,hammerhead,4,2,3,3.0,2
000999.png,999,toilet tissue,4,5,3,4.0,2
