image_name,class_id,class_name,User_1_alignment,User_2_alignment,User_3_alignment,User_1_artifact,User_2_artifact,User_3_artifact,alignment_max-min,artifact_max-min
000572.png,567,frying pan,4.29,1.67,1.67,3,4,5,2.62,2
000472.png,453,bookcase,3.89,4.29,1.67,3,5,5,2.62,2
000655.png,633,loupe,3.33,1.88,4.44,4,2,5,2.56,3
000059.png,39,common iguana,5.0,5.0,2.5,5,3,3,2.5,2
000094.png,64,green mamba,5.0,2.5,2.78,3,3,1,2.5,2
000009.png,4,hammerhead,3.12,2.5,5.0,5,3,3,2.5,2
000044.png,35,mud turtle,2.5,5.0,5.0,3,5,4,2.5,2
000165.png,144,pelican,2.5,5.0,5.0,5,3,3,2.5,2
000664.png,634,lumbermill,2.5,0.0,1.43,3,2,4,2.5,2
000889.png,952,fig,5.0,2.5,3.33,5,3,4,2.5,2
000743.png,755,radio telescope,5.0,2.5,5.0,4,3,2,2.5,2
000193.png,156,Blenheim spaniel,4.17,5.0,2.5,5,4,3,2.5,2
000520.png,488,chain,2.5,0.0,2.22,3,2,4,2.5,2
000567.png,554,fireboat,5.0,2.5,2.78,4,3,5,2.5,2
000246.png,330,wood rabbit,4.0,5.0,2.5,4,4,2,2.5,2
000644.png,632,loudspeaker,5.0,2.5,2.78,4,2,4,2.5,2
000029.png,10,brambling,3.5,2.5,5.0,4,4,2,2.5,2
000319.png,389,barracouta,3.12,3.12,0.62,2,5,2,2.5,3
000355.png,400,academic gown,2.5,0.0,0.0,1,2,0,2.5,2
000549.png,529,diaper,3.0,0.56,1.67,3,3,5,2.44,2
000052.png,39,common iguana,4.29,1.88,4.29,2,3,5,2.41,3
000064.png,49,African crocodile,3.33,1.0,2.0,2,2,4,2.33,2
000206.png,159,Rhodesian ridgeback,2.86,1.25,3.57,2,1,3,2.32,2
000004.png,4,hammerhead,4.29,2.0,3.33,5,2,3,2.29,3
000738.png,746,puck,0.0,1.11,2.22,1,3,2,2.22,2
000736.png,746,puck,0.0,1.11,2.22,1,4,3,2.22,3
000902.png,962,meat loaf,0.0,2.22,0.0,5,5,0,2.22,5
000673.png,645,maypole,0.0,0.0,2.22,3,4,2,2.22,2
000028.png,10,brambling,4.44,2.22,3.57,4,2,2,2.22,2
000619.png,605,iPod,3.33,1.11,3.33,3,3,5,2.22,2
000734.png,746,puck,0.0,0.0,2.22,1,2,3,2.22,2
000615.png,605,iPod,5.0,2.78,3.89,4,3,5,2.22,2
000839.png,920,traffic light,5.0,2.78,3.89,4,3,5,2.22,2
000344.png,396,lionfish,5.0,2.86,4.29,5,3,5,2.14,2
000035.png,25,European fire salamander,4.0,2.86,5.0,3,3,5,2.14,2
000036.png,25,European fire salamander,3.33,2.86,5.0,3,2,4,2.14,2
000552.png,535,disk brake,4.29,2.22,3.33,3,1,5,2.07,4
000017.png,7,cock,2.73,2.0,4.0,4,4,2,2.0,2
000100.png,80,black grouse,2.0,1.11,0.0,2,2,0,2.0,2
000439.png,429,baseball,2.0,1.25,0.0,3,3,0,2.0,3
