image_name,class_id,class_name,User_1_alignment,User_2_alignment,User_3_alignment,alignment_mean,alignment_max-min
000133.png,116,chiton,0.0,4.44,2.5,2.31,4.44
000172.png,147,grey whale,5.0,2.5,0.56,2.69,4.44
000814.png,917,comic book,5.0,0.56,0.56,2.04,4.44
000787.png,819,stage,5.0,1.11,0.56,2.22,4.44
000808.png,903,wig,5.0,0.56,2.22,2.59,4.44
000867.png,931,bagel,4.44,5.0,0.56,3.33,4.44
000894.png,960,chocolate sauce,5.0,0.56,0.56,2.04,4.44
000733.png,746,puck,5.0,0.56,5.0,3.52,4.44
000492.png,477,carpenter's kit,3.33,5.0,0.56,2.96,4.44
000948.png,981,ballplayer,5.0,0.56,1.88,2.48,4.44
000884.png,952,fig,5.0,2.22,0.56,2.59,4.44
000874.png,943,cucumber,5.0,2.5,0.56,2.69,4.44
000593.png,585,hair spray,0.83,5.0,0.56,2.13,4.44
000610.png,605,iPod,5.0,0.56,3.89,3.15,4.44
000649.png,632,loudspeaker,5.0,0.56,2.78,2.78,4.44
000537.png,499,cleaver,4.38,4.44,0.0,2.94,4.44
000868.png,931,bagel,4.38,4.38,0.0,2.92,4.38
000729.png,743,prison,3.33,0.0,4.38,2.57,4.38
000694.png,679,necklace,4.38,0.0,2.78,2.39,4.38
000946.png,981,ballplayer,4.38,0.0,0.56,1.65,4.38
000642.png,632,loudspeaker,5.0,0.62,2.78,2.8,4.38
000864.png,931,bagel,4.38,4.29,0.0,2.89,4.38
000718.png,730,plow,4.17,0.0,0.0,1.39,4.17
000559.png,535,disk brake,4.17,4.17,0.0,2.78,4.17
000277.png,347,bison,4.17,1.88,0.0,2.02,4.17
000724.png,743,prison,5.0,1.0,2.5,2.83,4.0
000726.png,743,prison,5.0,1.0,5.0,3.67,4.0
000285.png,356,weasel,4.0,1.25,0.0,1.75,4.0
000446.png,432,bassoon,4.0,1.88,0.0,1.96,4.0
000878.png,943,cucumber,5.0,1.0,1.67,2.56,4.0
000291.png,365,orangutan,5.0,1.11,1.67,2.59,3.89
000870.png,943,cucumber,5.0,1.11,1.67,2.59,3.89
000798.png,836,sunglass,5.0,2.14,1.11,2.75,3.89
000810.png,917,comic book,5.0,1.11,1.11,2.41,3.89
000771.png,810,space bar,0.0,3.89,3.33,2.41,3.89
000797.png,836,sunglass,5.0,2.86,1.11,2.99,3.89
000954.png,982,groom,5.0,1.11,1.67,2.59,3.89
000530.png,499,cleaver,5.0,1.11,5.0,3.7,3.89
000662.png,634,lumbermill,5.0,1.67,1.11,2.59,3.89
000467.png,446,binder,1.67,0.0,3.89,1.85,3.89
000379.png,406,altar,5.0,2.22,1.11,2.78,3.89
000382.png,413,assault rifle,5.0,1.11,4.44,3.52,3.89
000486.png,461,breastplate,0.0,0.0,3.89,1.3,3.89
000102.png,80,black grouse,5.0,2.22,1.11,2.78,3.89
000700.png,687,organ,5.0,1.11,2.78,2.96,3.89
000490.png,477,carpenter's kit,0.0,2.22,3.89,2.04,3.89
000173.png,147,grey whale,5.0,3.0,1.11,3.04,3.89
000813.png,917,comic book,5.0,1.11,1.67,2.59,3.89
000816.png,917,comic book,5.0,1.11,2.78,2.96,3.89
000953.png,982,groom,5.0,1.11,2.5,2.87,3.89
000842.png,922,menu,5.0,1.67,1.11,2.59,3.89
000993.png,999,toilet tissue,2.78,5.0,1.11,2.96,3.89
000968.png,983,scuba diver,5.0,1.11,5.0,3.7,3.89
000137.png,116,chiton,0.0,3.89,0.0,1.3,3.89
000424.png,426,barometer,4.38,1.88,0.56,2.27,3.82
000423.png,426,barometer,4.38,0.62,0.56,1.85,3.82
000628.png,606,iron,4.38,0.62,3.0,2.67,3.76
000196.png,156,Blenheim spaniel,3.75,3.75,0.0,2.5,3.75
000054.png,39,common iguana,4.29,1.25,5.0,3.51,3.75
000563.png,554,fireboat,3.75,2.5,0.0,2.08,3.75
000517.png,481,cassette,2.86,1.25,5.0,3.04,3.75
000947.png,981,ballplayer,3.75,0.56,0.0,1.44,3.75
000711.png,730,plow,2.5,0.0,3.75,2.08,3.75
000168.png,144,pelican,4.29,0.56,1.11,1.99,3.73
000386.png,413,assault rifle,5.0,1.43,2.5,2.98,3.57
000723.png,743,prison,0.0,3.5,3.57,2.36,3.57
000333.png,394,sturgeon,3.33,5.0,1.43,3.25,3.57
000516.png,481,cassette,1.43,2.5,5.0,2.98,3.57
000638.png,626,lighter,5.0,1.43,2.22,2.88,3.57
000082.png,52,thunder snake,3.57,0.0,0.0,1.19,3.57
000083.png,52,thunder snake,3.57,0.0,0.0,1.19,3.57
000065.png,49,African crocodile,3.57,0.0,0.0,1.19,3.57
000066.png,49,African crocodile,3.75,0.5,4.0,2.75,3.5
000003.png,4,hammerhead,3.12,1.5,5.0,3.21,3.5
000687.png,654,minibus,5.0,3.12,1.67,3.26,3.33
000365.png,405,airship,3.89,2.86,0.56,2.44,3.33
000384.png,413,assault rifle,0.0,3.33,3.33,2.22,3.33
000089.png,52,thunder snake,3.33,0.0,1.88,1.74,3.33
000667.png,634,lumbermill,5.0,1.67,2.78,3.15,3.33
000416.png,421,bannister,3.33,1.11,0.0,1.48,3.33
000653.png,633,loupe,3.33,0.0,0.0,1.11,3.33
000671.png,645,maypole,0.0,1.67,3.33,1.67,3.33
000932.png,972,cliff,5.0,1.67,5.0,3.89,3.33
000633.png,626,lighter,5.0,5.0,1.67,3.89,3.33
000449.png,432,bassoon,3.33,0.62,0.0,1.32,3.33
000943.png,981,ballplayer,3.33,0.0,2.14,1.82,3.33
000616.png,605,iPod,0.0,0.0,3.33,1.11,3.33
000934.png,972,cliff,5.0,1.67,5.0,3.89,3.33
000357.png,400,academic gown,5.0,3.33,1.67,3.33,3.33
000705.png,687,organ,5.0,1.67,3.33,3.33,3.33
000876.png,943,cucumber,5.0,5.0,1.67,3.89,3.33
000710.png,730,plow,5.0,1.67,2.22,2.96,3.33
000709.png,687,organ,5.0,1.67,3.33,3.33,3.33
000779.png,810,space bar,5.0,1.67,3.33,3.33,3.33
000591.png,585,hair spray,2.14,5.0,1.67,2.94,3.33
000461.png,446,binder,5.0,5.0,1.67,3.89,3.33
000458.png,443,bib,3.33,1.11,0.0,1.48,3.33
000353.png,400,academic gown,5.0,4.38,1.67,3.68,3.33
000352.png,400,academic gown,4.17,5.0,1.67,3.61,3.33
000924.png,971,bubble,3.33,0.56,0.0,1.3,3.33
000713.png,730,plow,5.0,5.0,1.67,3.89,3.33
000827.png,919,street sign,5.0,1.67,1.67,2.78,3.33
000281.png,356,weasel,3.33,0.0,3.33,2.22,3.33
000780.png,819,stage,5.0,2.22,1.67,2.96,3.33
000782.png,819,stage,5.0,2.78,1.67,3.15,3.33
000767.png,806,sock,4.29,1.11,4.44,3.28,3.33
000802.png,903,wig,5.0,2.22,1.67,2.96,3.33
000811.png,917,comic book,5.0,1.67,2.78,3.15,3.33
000197.png,156,Blenheim spaniel,3.33,1.25,0.0,1.53,3.33
000739.png,746,puck,5.0,1.67,1.67,2.78,3.33
000774.png,810,space bar,5.0,1.67,2.78,3.15,3.33
000806.png,903,wig,5.0,1.67,3.33,3.33,3.33
000807.png,903,wig,5.0,1.67,5.0,3.89,3.33
000828.png,919,street sign,0.0,3.33,1.11,1.48,3.33
000167.png,144,pelican,5.0,1.67,2.86,3.18,3.33
000175.png,147,grey whale,5.0,4.0,1.67,3.56,3.33
000176.png,147,grey whale,5.0,3.75,1.67,3.47,3.33
000854.png,928,ice cream,5.0,5.0,1.67,3.89,3.33
000186.png,150,sea lion,3.33,0.0,1.11,1.48,3.33
000848.png,922,menu,3.33,0.0,2.0,1.78,3.33
000846.png,922,menu,3.89,2.78,0.56,2.41,3.33
000523.png,488,chain,3.33,0.0,0.0,1.11,3.33
000851.png,928,ice cream,5.0,3.33,1.67,3.33,3.33
000564.png,554,fireboat,5.0,3.33,1.67,3.33,3.33
000565.png,554,fireboat,5.0,5.0,1.67,3.89,3.33
000412.png,421,bannister,0.0,0.0,3.33,1.11,3.33
000107.png,80,black grouse,5.0,1.67,2.14,2.94,3.33
000753.png,756,rain barrel,3.75,2.86,0.5,2.37,3.25
000685.png,654,minibus,4.29,3.75,1.11,3.05,3.18
000703.png,687,organ,4.29,1.11,2.78,2.73,3.18
000015.png,7,cock,3.18,1.82,5.0,3.33,3.18
000535.png,499,cleaver,3.12,0.0,1.67,1.6,3.12
000374.png,406,altar,5.0,1.88,3.33,3.4,3.12
000144.png,118,Dungeness crab,3.12,0.0,2.22,1.78,3.12
000290.png,365,orangutan,5.0,3.12,1.88,3.33,3.12
000263.png,339,sorrel,5.0,3.75,1.88,3.54,3.12
000053.png,39,common iguana,5.0,1.88,4.0,3.63,3.12
000588.png,575,golfcart,5.0,1.88,2.78,3.22,3.12
000937.png,972,cliff,5.0,2.22,1.88,3.03,3.12
000545.png,529,diaper,4.17,1.11,3.33,2.87,3.06
000788.png,819,stage,4.17,1.67,1.11,2.32,3.06
000198.png,156,Blenheim spaniel,4.17,3.12,1.11,2.8,3.06
000783.png,819,stage,4.17,1.11,1.67,2.32,3.06
000515.png,481,cassette,3.33,0.83,3.89,2.68,3.06
000339.png,394,sturgeon,2.86,3.75,0.71,2.44,3.04
000940.png,981,ballplayer,3.57,0.62,0.56,1.58,3.01
000078.png,51,triceratops,3.0,0.0,0.0,1.0,3.0
000279.png,347,bison,3.0,0.0,0.0,1.0,3.0
000975.png,985,daisy,0.0,3.0,0.0,1.0,3.0
000306.png,370,guenon,5.0,3.5,2.0,3.5,3.0
000292.png,365,orangutan,5.0,2.0,3.75,3.58,3.0
000079.png,51,triceratops,5.0,2.0,5.0,4.0,3.0
000362.png,405,airship,1.25,3.0,0.0,1.42,3.0
000626.png,606,iron,3.5,1.5,0.5,1.83,3.0
000398.png,415,bakery,3.0,0.0,0.0,1.0,3.0
000877.png,943,cucumber,3.0,2.0,0.0,1.67,3.0
000397.png,415,bakery,3.0,0.56,0.0,1.19,3.0
000725.png,743,prison,5.0,2.0,2.86,3.29,3.0
000744.png,755,radio telescope,5.0,2.0,4.0,3.67,3.0
000042.png,35,mud turtle,3.33,2.0,5.0,3.44,3.0
000221.png,300,tiger beetle,4.17,3.75,1.25,3.06,2.92
000660.png,634,lumbermill,4.0,1.67,1.11,2.26,2.89
000544.png,529,diaper,4.0,1.43,1.11,2.18,2.89
000330.png,394,sturgeon,2.86,2.86,0.0,1.91,2.86
000453.png,443,bib,0.0,2.86,0.0,0.95,2.86
000092.png,64,green mamba,5.0,3.12,2.14,3.42,2.86
000609.png,590,hand-held computer,4.29,1.43,4.17,3.3,2.86
000602.png,590,hand-held computer,5.0,2.14,2.78,3.31,2.86
000575.png,567,frying pan,5.0,2.14,4.17,3.77,2.86
000005.png,4,hammerhead,2.86,0.0,0.0,0.95,2.86
000039.png,25,European fire salamander,2.14,2.14,5.0,3.09,2.86
000347.png,396,lionfish,5.0,2.14,2.14,3.09,2.86
000620.png,606,iron,4.29,2.14,1.5,2.64,2.79
000817.png,917,comic book,5.0,4.44,2.22,3.89,2.78
000833.png,920,traffic light,5.0,2.22,2.78,3.33,2.78
000022.png,10,brambling,2.5,2.22,5.0,3.24,2.78
000026.png,10,brambling,4.0,2.22,5.0,3.74,2.78
000819.png,917,comic book,5.0,3.57,2.22,3.6,2.78
000820.png,919,street sign,5.0,2.22,2.78,3.33,2.78
000822.png,919,street sign,5.0,2.22,2.22,3.15,2.78
000855.png,928,ice cream,5.0,5.0,2.22,4.07,2.78
000823.png,919,street sign,5.0,2.22,2.78,3.33,2.78
000982.png,991,coral fungus,5.0,2.22,4.44,3.89,2.78
000574.png,567,frying pan,5.0,5.0,2.22,4.07,2.78
000786.png,819,stage,5.0,4.29,2.22,3.84,2.78
000143.png,118,Dungeness crab,2.22,0.0,2.78,1.67,2.78
000280.png,356,weasel,5.0,5.0,2.22,4.07,2.78
000872.png,943,cucumber,5.0,4.0,2.22,3.74,2.78
000805.png,903,wig,5.0,5.0,2.22,4.07,2.78
000647.png,632,loudspeaker,5.0,5.0,2.22,4.07,2.78
000635.png,626,lighter,5.0,5.0,2.22,4.07,2.78
000630.png,626,lighter,3.0,5.0,2.22,3.41,2.78
000393.png,415,bakery,5.0,2.78,2.22,3.33,2.78
000434.png,429,baseball,3.12,5.0,2.22,3.45,2.78
000627.png,606,iron,5.0,2.22,3.0,3.41,2.78
000611.png,605,iPod,5.0,5.0,2.22,4.07,2.78
000413.png,421,bannister,5.0,3.33,2.22,3.52,2.78
000883.png,952,fig,5.0,5.0,2.22,4.07,2.78
000689.png,654,minibus,5.0,2.78,2.22,3.33,2.78
000400.png,419,Band Aid,0.0,0.0,2.78,0.93,2.78
000879.png,943,cucumber,5.0,5.0,2.22,4.07,2.78
000296.png,365,orangutan,5.0,2.5,2.22,3.24,2.78
000316.png,389,barracouta,3.89,3.33,1.11,2.78,2.78
000380.png,413,assault rifle,5.0,2.22,3.33,3.52,2.78
000409.png,419,Band Aid,4.0,5.0,2.22,3.74,2.78
000187.png,150,sea lion,2.78,0.0,1.67,1.48,2.78
000055.png,39,common iguana,2.22,0.56,3.33,2.04,2.77
000731.png,746,puck,4.44,1.67,3.89,3.33,2.77
000329.png,392,rock beauty,2.86,4.17,1.43,2.82,2.74
000445.png,432,bassoon,3.33,3.75,1.11,2.73,2.64
000000.png,4,hammerhead,3.75,1.11,2.0,2.29,2.64
000179.png,147,grey whale,3.75,3.33,1.11,2.73,2.64
000152.png,129,spoonbill,3.75,2.86,1.11,2.57,2.64
000692.png,679,necklace,3.33,1.11,3.75,2.73,2.64
000572.png,567,frying pan,4.29,1.67,1.67,2.54,2.62
000338.png,394,sturgeon,3.0,3.33,0.71,2.35,2.62
000472.png,453,bookcase,3.89,4.29,1.67,3.28,2.62
000371.png,406,altar,4.29,2.5,1.67,2.82,2.62
000655.png,633,loupe,3.33,1.88,4.44,3.22,2.56
000009.png,4,hammerhead,3.12,2.5,5.0,3.54,2.5
000044.png,35,mud turtle,2.5,5.0,5.0,4.17,2.5
000743.png,755,radio telescope,5.0,2.5,5.0,4.17,2.5
000741.png,755,radio telescope,5.0,5.0,2.5,4.17,2.5
000859.png,928,ice cream,0.0,2.5,0.0,0.83,2.5
000193.png,156,Blenheim spaniel,4.17,5.0,2.5,3.89,2.5
000265.png,339,sorrel,5.0,5.0,2.5,4.17,2.5
000246.png,330,wood rabbit,4.0,5.0,2.5,3.83,2.5
000205.png,159,Rhodesian ridgeback,3.75,5.0,2.5,3.75,2.5
000889.png,952,fig,5.0,2.5,3.33,3.61,2.5
000190.png,156,Blenheim spaniel,4.17,5.0,2.5,3.89,2.5
000518.png,481,cassette,0.0,2.5,2.22,1.57,2.5
000520.png,488,chain,2.5,0.0,2.22,1.57,2.5
000996.png,999,toilet tissue,2.5,5.0,4.44,3.98,2.5
000962.png,983,scuba diver,5.0,2.5,4.38,3.96,2.5
000512.png,481,cassette,3.12,2.5,5.0,3.54,2.5
000567.png,554,fireboat,5.0,2.5,2.78,3.43,2.5
000568.png,554,fireboat,5.0,2.5,3.33,3.61,2.5
000165.png,144,pelican,2.5,5.0,5.0,4.17,2.5
000355.png,400,academic gown,2.5,0.0,0.0,0.83,2.5
000381.png,413,assault rifle,3.33,0.83,1.67,1.94,2.5
000385.png,413,assault rifle,5.0,4.29,2.5,3.93,2.5
000319.png,389,barracouta,3.12,3.12,0.62,2.29,2.5
000318.png,389,barracouta,4.38,2.5,1.88,2.92,2.5
000721.png,743,prison,5.0,5.0,2.5,4.17,2.5
000475.png,453,bookcase,2.78,4.17,1.67,2.87,2.5
000664.png,634,lumbermill,2.5,0.0,1.43,1.31,2.5
000686.png,654,minibus,5.0,2.5,2.78,3.43,2.5
000676.png,645,maypole,5.0,5.0,2.5,4.17,2.5
000684.png,654,minibus,5.0,2.5,3.33,3.61,2.5
000094.png,64,green mamba,5.0,2.5,2.78,3.43,2.5
000029.png,10,brambling,3.5,2.5,5.0,3.67,2.5
000644.png,632,loudspeaker,5.0,2.5,2.78,3.43,2.5
000059.png,39,common iguana,5.0,5.0,2.5,4.17,2.5
000162.png,144,pelican,3.57,1.11,3.57,2.75,2.46
000549.png,529,diaper,3.0,0.56,1.67,1.74,2.44
000052.png,39,common iguana,4.29,1.88,4.29,3.49,2.41
000064.png,49,African crocodile,3.33,1.0,2.0,2.11,2.33
000369.png,405,airship,4.0,3.75,1.67,3.14,2.33
000304.png,370,guenon,3.33,1.25,1.0,1.86,2.33
000206.png,159,Rhodesian ridgeback,2.86,1.25,3.57,2.56,2.32
000308.png,370,guenon,4.44,2.14,3.0,3.19,2.3
000004.png,4,hammerhead,4.29,2.0,3.33,3.21,2.29
000101.png,80,black grouse,4.38,2.5,2.14,3.01,2.24
000935.png,972,cliff,3.33,2.78,5.0,3.7,2.22
000651.png,633,loupe,3.57,5.0,2.78,3.78,2.22
000615.png,605,iPod,5.0,2.78,3.89,3.89,2.22
000619.png,605,iPod,3.33,1.11,3.33,2.59,2.22
000450.png,443,bib,4.44,5.0,2.78,4.07,2.22
000028.png,10,brambling,4.44,2.22,3.57,3.41,2.22
000637.png,626,lighter,5.0,5.0,2.78,4.26,2.22
000451.png,443,bib,4.38,5.0,2.78,4.05,2.22
000401.png,419,Band Aid,4.38,5.0,2.78,4.05,2.22
000673.png,645,maypole,0.0,0.0,2.22,0.74,2.22
000681.png,654,minibus,5.0,5.0,2.78,4.26,2.22
000399.png,415,bakery,5.0,2.78,2.78,3.52,2.22
000356.png,400,academic gown,2.78,5.0,3.89,3.89,2.22
000388.png,413,assault rifle,5.0,3.89,2.78,3.89,2.22
000363.png,405,airship,4.44,3.75,2.22,3.47,2.22
000368.png,405,airship,4.38,2.78,5.0,4.05,2.22
000370.png,406,altar,5.0,3.75,2.78,3.84,2.22
000372.png,406,altar,5.0,5.0,2.78,4.26,2.22
000714.png,730,plow,5.0,5.0,2.78,4.26,2.22
000462.png,446,binder,3.89,1.67,3.89,3.15,2.22
000376.png,406,altar,5.0,3.12,2.78,3.63,2.22
000448.png,432,bassoon,5.0,5.0,2.78,4.26,2.22
000391.png,415,bakery,2.5,0.56,2.78,1.95,2.22
000665.png,634,lumbermill,3.33,1.11,2.22,2.22,2.22
000738.png,746,puck,0.0,1.11,2.22,1.11,2.22
000581.png,575,golfcart,5.0,5.0,2.78,4.26,2.22
000594.png,585,hair spray,3.57,5.0,2.78,3.78,2.22
000310.png,389,barracouta,4.44,4.44,2.22,3.7,2.22
000315.png,389,barracouta,5.0,3.89,2.78,3.89,2.22
000803.png,903,wig,5.0,4.44,2.78,4.07,2.22
000736.png,746,puck,0.0,1.11,2.22,1.11,2.22
000735.png,746,puck,5.0,3.89,2.78,3.89,2.22
000784.png,819,stage,5.0,5.0,2.78,4.26,2.22
000785.png,819,stage,5.0,3.12,2.78,3.63,2.22
000832.png,920,traffic light,5.0,3.89,2.78,3.89,2.22
000804.png,903,wig,5.0,5.0,2.78,4.26,2.22
000570.png,567,frying pan,5.0,5.0,2.78,4.26,2.22
000800.png,903,wig,5.0,2.78,3.33,3.7,2.22
000734.png,746,puck,0.0,0.0,2.22,0.74,2.22
000762.png,806,sock,5.0,2.78,4.44,4.07,2.22
000159.png,129,spoonbill,5.0,4.17,2.78,3.98,2.22
000163.png,144,pelican,5.0,2.78,4.17,3.98,2.22
000560.png,554,fireboat,5.0,5.0,2.78,4.26,2.22
000154.png,129,spoonbill,5.0,2.78,3.89,3.89,2.22
000861.png,931,bagel,4.38,5.0,2.78,4.05,2.22
000151.png,129,spoonbill,5.0,4.29,2.78,4.02,2.22
000839.png,920,traffic light,5.0,2.78,3.89,3.89,2.22
000871.png,943,cucumber,5.0,4.0,2.78,3.93,2.22
000875.png,943,cucumber,5.0,5.0,2.78,4.26,2.22
000141.png,118,Dungeness crab,5.0,4.38,2.78,4.05,2.22
000860.png,931,bagel,5.0,5.0,2.78,4.26,2.22
000902.png,962,meat loaf,0.0,2.22,0.0,0.74,2.22
000547.png,529,diaper,4.17,4.44,2.22,3.61,2.22
000546.png,529,diaper,2.5,1.11,3.33,2.31,2.22
000542.png,529,diaper,4.17,5.0,2.78,3.98,2.22
000528.png,488,chain,4.44,2.78,2.22,3.15,2.22
000002.png,4,hammerhead,2.5,2.0,4.17,2.89,2.17
000188.png,150,sea lion,4.38,2.22,3.33,3.31,2.16
000164.png,144,pelican,4.38,2.22,3.57,3.39,2.16
000444.png,432,bassoon,4.38,2.22,3.33,3.31,2.16
000023.png,10,brambling,4.38,2.22,3.75,3.45,2.16
000469.png,446,binder,3.75,4.38,2.22,3.45,2.16
000080.png,52,thunder snake,4.17,5.0,2.86,4.01,2.14
000327.png,392,rock beauty,3.75,5.0,2.86,3.87,2.14
000344.png,396,lionfish,5.0,2.86,4.29,4.05,2.14
000463.png,446,binder,2.86,5.0,3.89,3.92,2.14
000578.png,567,frying pan,5.0,2.86,5.0,4.29,2.14
000123.png,106,wombat,5.0,5.0,2.86,4.29,2.14
000322.png,392,rock beauty,2.86,5.0,2.86,3.57,2.14
000321.png,392,rock beauty,2.86,5.0,2.86,3.57,2.14
000236.png,322,ringlet,2.86,5.0,3.75,3.87,2.14
000035.png,25,European fire salamander,4.0,2.86,5.0,3.95,2.14
000036.png,25,European fire salamander,3.33,2.86,5.0,3.73,2.14
000603.png,590,hand-held computer,5.0,2.86,3.33,3.73,2.14
000331.png,394,sturgeon,3.57,5.0,2.86,3.81,2.14
000295.png,365,orangutan,3.75,3.0,1.67,2.81,2.08
000552.png,535,disk brake,4.29,2.22,3.33,3.28,2.07
000153.png,129,spoonbill,4.29,2.5,2.22,3.0,2.07
000447.png,432,bassoon,4.29,3.75,2.22,3.42,2.07
000293.png,365,orangutan,5.0,3.75,3.0,3.92,2.0
000750.png,756,rain barrel,5.0,3.57,3.0,3.86,2.0
000756.png,756,rain barrel,4.17,5.0,3.0,4.06,2.0
000100.png,80,black grouse,2.0,1.11,0.0,1.04,2.0
000439.png,429,baseball,2.0,1.25,0.0,1.08,2.0
000720.png,743,prison,4.0,4.5,2.5,3.67,2.0
000030.png,25,European fire salamander,3.0,4.0,5.0,4.0,2.0
000017.png,7,cock,2.73,2.0,4.0,2.91,2.0
000428.png,426,barometer,2.5,1.88,0.56,1.65,1.94
000425.png,426,barometer,2.5,1.25,0.56,1.44,1.94
000429.png,426,barometer,2.5,1.88,0.56,1.65,1.94
000383.png,413,assault rifle,3.33,3.57,1.67,2.86,1.9
000332.png,394,sturgeon,3.33,1.43,1.43,2.06,1.9
000396.png,415,bakery,3.0,1.11,1.11,1.74,1.89
000905.png,962,meat loaf,0.0,1.88,0.0,0.63,1.88
000960.png,983,scuba diver,5.0,3.12,5.0,4.37,1.88
000071.png,51,triceratops,1.88,0.0,0.0,0.63,1.88
000888.png,952,fig,1.88,0.83,0.0,0.9,1.88
000464.png,446,binder,0.0,1.88,0.0,0.63,1.88
000239.png,322,ringlet,5.0,5.0,3.12,4.37,1.88
000274.png,347,bison,5.0,3.12,3.57,3.9,1.88
000063.png,49,African crocodile,4.38,4.29,2.5,3.72,1.88
000267.png,339,sorrel,5.0,3.75,3.12,3.96,1.88
000212.png,281,tabby cat,5.0,5.0,3.12,4.37,1.88
000938.png,972,cliff,5.0,3.33,3.12,3.82,1.88
000950.png,982,groom,5.0,5.0,3.12,4.37,1.88
000719.png,730,plow,5.0,3.89,3.12,4.0,1.88
000181.png,150,sea lion,5.0,4.29,3.12,4.14,1.88
000128.png,106,wombat,5.0,3.12,5.0,4.37,1.88
000075.png,51,triceratops,4.38,5.0,3.12,4.17,1.88
000084.png,52,thunder snake,3.75,3.12,5.0,3.96,1.88
000607.png,590,hand-held computer,0.0,1.88,0.0,0.63,1.88
000192.png,156,Blenheim spaniel,3.57,5.0,3.12,3.9,1.88
000232.png,322,ringlet,5.0,3.12,5.0,4.37,1.88
