image_name,class_id,class_name,User_1_alignment,User_2_alignment,User_3_alignment,User_1_artifact,User_2_artifact,User_3_artifact,alignment_max-min,artifact_max-min
000172.png,147,grey whale,5,2.5,0.56,4,5,4,4.44,1
000173.png,147,grey whale,5,3,1.11,4,5,4,3.89,1
000174.png,147,grey whale,5,0,1.67,4,4,5,5,1
000175.png,147,grey whale,5,4,1.67,5,4,5,3.33,1
000176.png,147,grey whale,5,3.75,1.67,5,4,5,3.33,1
000177.png,147,grey whale,0,0,0,5,2,1,0,4
000178.png,147,grey whale,0,0,0,5,1,1,0,4
000179.png,147,grey whale,3.75,3.33,1.11,3,5,5,2.64,2
000182.png,150,sea lion,4.29,3.33,3.12,3,3,5,1.17,2
000183.png,150,sea lion,3.12,1.67,3.12,2,3,4,1.45,2
000184.png,150,sea lion,0,0,0,4,2,4,0,2
000186.png,150,sea lion,3.33,0,1.11,4,2,4,3.33,2
000187.png,150,sea lion,2.78,0,1.67,3,3,4,2.78,1
000188.png,150,sea lion,4.38,2.22,3.33,3,3,3,2.16,0
000189.png,150,sea lion,0,0,0,2,2,0,0,2
000190.png,156,Blenheim spaniel,4.17,5,2.5,5,5,4,2.5,1
000193.png,156,Blenheim spaniel,4.17,5,2.5,5,4,3,2.5,2
000196.png,156,Blenheim spaniel,3.75,3.75,0,4,4,0,3.75,4
000197.png,156,Blenheim spaniel,3.33,1.25,0,3,3,0,3.33,3
000198.png,156,Blenheim spaniel,4.17,3.12,1.11,4,4,3,3.06,1
000205.png,159,Rhodesian ridgeback,3.75,5,2.5,3,4,3,2.5,1
000206.png,159,Rhodesian ridgeback,2.86,1.25,3.57,2,1,3,2.32,2
000207.png,159,Rhodesian ridgeback,5,3.89,4,3,4,5,1.11,2
000209.png,159,Rhodesian ridgeback,5,2.86,0,2,2,0,5,2
000211.png,281,tabby cat,5,3.57,3.57,5,4,3,1.43,2
000217.png,281,tabby cat,4.17,4.17,2.86,2,4,3,1.31,2
000220.png,300,tiger beetle,1.88,0,0,2,2,0,1.88,2
000221.png,300,tiger beetle,4.17,3.75,1.25,4,5,5,2.92,1
000236.png,322,ringlet,2.86,5,3.75,5,5,5,2.14,0
000240.png,330,wood rabbit,4.17,5,5,5,5,3,0.83,2
000241.png,330,wood rabbit,0,0,0,4,0,0,0,4
000244.png,330,wood rabbit,3.57,4.29,4.38,3,5,4,0.81,2
000246.png,330,wood rabbit,4,5,2.5,4,4,2,2.5,2
000247.png,330,wood rabbit,3,2.5,1.88,3,4,2,1.12,2
000250.png,333,hamster,5,0,0,3,2,0,5,3
000254.png,333,hamster,5,5,3.33,3,5,5,1.67,2
000257.png,333,hamster,4,4,3.33,5,4,3,0.67,2
000262.png,339,sorrel,5,4.38,5,4,3,5,0.62,2
000263.png,339,sorrel,5,3.75,1.88,3,4,4,3.12,1
000265.png,339,sorrel,5,5,2.5,5,4,5,2.5,1
000277.png,347,bison,4.17,1.88,0,4,3,0,4.17,4
000278.png,347,bison,5,3.89,4.44,5,4,3,1.11,2
000279.png,347,bison,3,0,0,2,2,0,3,2
000280.png,356,weasel,5,5,2.22,4,3,4,2.78,1
000281.png,356,weasel,3.33,0,3.33,3,3,5,3.33,2
000283.png,356,weasel,0,5,3.33,5,4,4,5,1
000285.png,356,weasel,4,1.25,0,4,2,0,4,4
000290.png,365,orangutan,5,3.12,1.88,4,3,2,3.12,2
000291.png,365,orangutan,5,1.11,1.67,3,4,4,3.89,1
000292.png,365,orangutan,5,2,3.75,3,4,4,3,1
000293.png,365,orangutan,5,3.75,3,4,5,5,2,1
000295.png,365,orangutan,3.75,3,1.67,4,3,4,2.08,1
000296.png,365,orangutan,5,2.5,2.22,3,4,3,2.78,1
000304.png,370,guenon,3.33,1.25,1,3,4,3,2.33,1
000306.png,370,guenon,5,3.5,2,5,4,5,3,1
000308.png,370,guenon,4.44,2.14,3,3,4,4,2.3,1
000310.png,389,barracouta,4.44,4.44,2.22,5,5,4,2.22,1
000311.png,389,barracouta,2.5,1.67,1.25,2,4,3,1.25,2
000313.png,389,barracouta,0,0,0,2,0,0,0,2
000315.png,389,barracouta,5,3.89,2.78,5,5,5,2.22,0
000316.png,389,barracouta,3.89,3.33,1.11,5,5,3,2.78,2
000318.png,389,barracouta,4.38,2.5,1.88,3,4,3,2.5,1
000319.png,389,barracouta,3.12,3.12,0.62,2,5,2,2.5,3
000321.png,392,rock beauty,2.86,5,2.86,4,5,5,2.14,1
000322.png,392,rock beauty,2.86,5,2.86,4,5,5,2.14,1
000323.png,392,rock beauty,2.14,2.86,1.43,2,4,3,1.43,2
000325.png,392,rock beauty,3,4,2.14,4,5,3,1.86,2
000327.png,392,rock beauty,3.75,5,2.86,4,5,4,2.14,1
000329.png,392,rock beauty,2.86,4.17,1.43,2,4,3,2.74,2
000330.png,394,sturgeon,2.86,2.86,0,2,5,0,2.86,5
000331.png,394,sturgeon,3.57,5,2.86,5,5,4,2.14,1
000333.png,394,sturgeon,3.33,5,1.43,2,5,2,3.57,3
000334.png,394,sturgeon,0,0,0,2,1,0,0,2
000337.png,394,sturgeon,0,0,0,2,1,0,0,2
000338.png,394,sturgeon,3,3.33,0.71,4,4,4,2.62,0
000339.png,394,sturgeon,2.86,3.75,0.71,5,5,4,3.04,1
000342.png,396,lionfish,4.29,4.29,4.29,3,3,5,0,2
000344.png,396,lionfish,5,2.86,4.29,5,3,5,2.14,2
000347.png,396,lionfish,5,2.14,2.14,4,2,4,2.86,2
000348.png,396,lionfish,0,0,0,1,0,3,0,3
000352.png,400,academic gown,4.17,5,1.67,2,4,1,3.33,3
000353.png,400,academic gown,5,4.38,1.67,2,3,0,3.33,3
000355.png,400,academic gown,2.5,0,0,1,2,0,2.5,2
000356.png,400,academic gown,2.78,5,3.89,5,5,5,2.22,0
000357.png,400,academic gown,5,3.33,1.67,1,3,1,3.33,2
000358.png,400,academic gown,5,0,0,1,3,0,5,3
000359.png,400,academic gown,3.75,5,3.33,5,4,2,1.67,3
000362.png,405,airship,1.25,3,0,3,3,2,3,1
000363.png,405,airship,4.44,3.75,2.22,3,4,3,2.22,1
000364.png,405,airship,3.75,3.89,4.44,3,5,4,0.69,2
000365.png,405,airship,3.89,2.86,0.56,3,4,4,3.33,1
000368.png,405,airship,4.38,2.78,5,5,5,5,2.22,0
000369.png,405,airship,4,3.75,1.67,4,4,4,2.33,0
000370.png,406,altar,5,3.75,2.78,4,4,4,2.22,0
000371.png,406,altar,4.29,2.5,1.67,5,5,5,2.62,0
000372.png,406,altar,5,5,2.78,4,4,5,2.22,1
000373.png,406,altar,5,0,2.78,3,1,3,5,2
000374.png,406,altar,5,1.88,3.33,4,2,3,3.12,2
000376.png,406,altar,5,3.12,2.78,4,3,4,2.22,1
000379.png,406,altar,5,2.22,1.11,4,3,3,3.89,1
000380.png,413,assault rifle,5,2.22,3.33,4,4,5,2.78,1
000381.png,413,assault rifle,3.33,0.83,1.67,2,3,3,2.5,1
000382.png,413,assault rifle,5,1.11,4.44,3,2,4,3.89,2
000384.png,413,assault rifle,0,3.33,3.33,1,4,4,3.33,3
000385.png,413,assault rifle,5,4.29,2.5,3,4,4,2.5,1
000386.png,413,assault rifle,5,1.43,2.5,3,3,3,3.57,0
000387.png,413,assault rifle,0,5,3.33,3,4,5,5,2
000388.png,413,assault rifle,5,3.89,2.78,4,4,4,2.22,0
000391.png,415,bakery,2.5,0.56,2.78,3,4,4,2.22,1
000393.png,415,bakery,5,2.78,2.22,4,4,3,2.78,1
000394.png,415,bakery,3,1.67,1.67,3,5,3,1.33,2
000397.png,415,bakery,3,0.56,0,4,5,0,3,5
000398.png,415,bakery,3,0,0,4,5,0,3,5
000399.png,415,bakery,5,2.78,2.78,4,3,4,2.22,1
000400.png,419,Band Aid,0,0,2.78,3,2,5,2.78,3
000401.png,419,Band Aid,4.38,5,2.78,5,5,4,2.22,1
000402.png,419,Band Aid,0,0,0,2,3,0,0,3
000403.png,419,Band Aid,0,0,0,2,3,0,0,3
000406.png,419,Band Aid,0,0,0,3,3,0,0,3
000409.png,419,Band Aid,4,5,2.22,4,4,4,2.78,0
000412.png,421,bannister,0,0,3.33,1,2,2,3.33,1
000413.png,421,bannister,5,3.33,2.22,3,3,3,2.78,0
000414.png,421,bannister,0,0,0,2,2,0,0,2
000416.png,421,bannister,3.33,1.11,0,4,2,0,3.33,4
000419.png,421,bannister,0,0,0,3,2,0,0,3
000423.png,426,barometer,4.38,0.62,0.56,4,3,0,3.82,4
000424.png,426,barometer,4.38,1.88,0.56,3,4,0,3.82,4
000425.png,426,barometer,2.5,1.25,0.56,2,3,0,1.94,3
000428.png,426,barometer,2.5,1.88,0.56,3,4,0,1.94,4
000429.png,426,barometer,2.5,1.88,0.56,3,4,0,1.94,4
000430.png,429,baseball,5,5,3.89,3,4,5,1.11,2
000432.png,429,baseball,5,5,3.89,3,4,5,1.11,2
000434.png,429,baseball,3.12,5,2.22,4,5,4,2.78,1
000439.png,429,baseball,2,1.25,0,3,3,0,2,3
000441.png,432,bassoon,5,0,0,4,2,0,5,4
000443.png,432,bassoon,0,0,0,2,2,0,0,2
000444.png,432,bassoon,4.38,2.22,3.33,3,3,3,2.16,0
000445.png,432,bassoon,3.33,3.75,1.11,4,4,5,2.64,1
000446.png,432,bassoon,4,1.88,0,2,3,0,4,3
000447.png,432,bassoon,4.29,3.75,2.22,5,5,5,2.07,0
000448.png,432,bassoon,5,5,2.78,4,4,4,2.22,0
000449.png,432,bassoon,3.33,0.62,0,2,3,0,3.33,3
000450.png,443,bib,4.44,5,2.78,5,5,5,2.22,0
000451.png,443,bib,4.38,5,2.78,5,5,5,2.22,0
000453.png,443,bib,0,2.86,0,1,3,3,2.86,2
000457.png,443,bib,4.38,5,3.89,3,4,5,1.11,2
000458.png,443,bib,3.33,1.11,0,5,2,3,3.33,3
000459.png,443,bib,4.44,4.44,3.89,3,4,5,0.55,2
000461.png,446,binder,5,5,1.67,4,5,5,3.33,1
000462.png,446,binder,3.89,1.67,3.89,3,3,4,2.22,1
000463.png,446,binder,2.86,5,3.89,5,5,5,2.14,0
000464.png,446,binder,0,1.88,0,1,3,0,1.88,3
000467.png,446,binder,1.67,0,3.89,4,1,3,3.89,3
000469.png,446,binder,3.75,4.38,2.22,5,5,4,2.16,1
000471.png,453,bookcase,3.89,3.33,2.78,3,4,5,1.11,2
000472.png,453,bookcase,3.89,4.29,1.67,3,5,5,2.62,2
000475.png,453,bookcase,2.78,4.17,1.67,5,5,4,2.5,1
000483.png,461,breastplate,0,1.11,0,3,1,4,1.11,3
000486.png,461,breastplate,0,0,3.89,3,2,4,3.89,2
000490.png,477,carpenter's kit,0,2.22,3.89,3,3,5,3.89,2
000491.png,477,carpenter's kit,0,5,0.56,5,5,5,5,0
000492.png,477,carpenter's kit,3.33,5,0.56,4,5,4,4.44,1
000493.png,477,carpenter's kit,3.75,3.89,2.78,3,4,5,1.11,2
000494.png,477,carpenter's kit,4.38,5,4.44,3,4,5,0.62,2
000503.png,479,car wheel,4.44,4.38,4.44,3,3,5,0.0600000000000005,2
000504.png,479,car wheel,3.89,3.12,3.33,3,3,5,0.77,2
000506.png,479,car wheel,4.44,4.38,3.89,3,3,5,0.55,2
000507.png,479,car wheel,3.89,4.38,3.33,3,3,5,1.05,2
000511.png,481,cassette,0,5,1.67,4,4,5,5,1
000512.png,481,cassette,3.12,2.5,5,4,4,5,2.5,1
000513.png,481,cassette,0,1.25,0,3,2,1,1.25,2
000515.png,481,cassette,3.33,0.83,3.89,4,3,4,3.06,1
000516.png,481,cassette,1.43,2.5,5,3,4,5,3.57,2
000517.png,481,cassette,2.86,1.25,5,4,3,4,3.75,1
000518.png,481,cassette,0,2.5,2.22,4,4,4,2.5,0
000519.png,481,cassette,0,5,2.22,4,5,5,5,1
000520.png,488,chain,2.5,0,2.22,3,2,4,2.5,2
000523.png,488,chain,3.33,0,0,3,2,2,3.33,1
000527.png,488,chain,2.78,1.67,2.78,3,3,5,1.11,2
000528.png,488,chain,4.44,2.78,2.22,5,5,4,2.22,1
000530.png,499,cleaver,5,1.11,5,4,3,4,3.89,1
000531.png,499,cleaver,0,4.44,5,2,5,4,5,3
000534.png,499,cleaver,0,0,0,0,0,2,0,2
000535.png,499,cleaver,3.12,0,1.67,3,2,4,3.12,2
000537.png,499,cleaver,4.38,4.44,0,3,4,5,4.44,2
000538.png,499,cleaver,0,1.11,0,3,3,5,1.11,2
000542.png,529,diaper,4.17,5,2.78,5,5,4,2.22,1
000544.png,529,diaper,4,1.43,1.11,4,3,4,2.89,1
000545.png,529,diaper,4.17,1.11,3.33,4,3,5,3.06,2
000546.png,529,diaper,2.5,1.11,3.33,3,3,4,2.22,1
000547.png,529,diaper,4.17,4.44,2.22,5,5,5,2.22,0
000548.png,529,diaper,4.17,2.78,3.89,5,3,5,1.39,2
000549.png,529,diaper,3,0.56,1.67,3,3,5,2.44,2
000550.png,535,disk brake,2.22,1.11,1.67,3,2,5,1.11,3
000551.png,535,disk brake,3.75,2.22,3.33,3,3,5,1.53,2
000552.png,535,disk brake,4.29,2.22,3.33,3,1,5,2.07,4
000556.png,535,disk brake,4.29,2.78,3.33,3,5,4,1.51,2
000558.png,535,disk brake,1.43,1.11,2.22,4,2,5,1.11,3
000559.png,535,disk brake,4.17,4.17,0,5,5,5,4.17,0
000560.png,554,fireboat,5,5,2.78,5,5,5,2.22,0
000561.png,554,fireboat,5,5,0,4,4,5,5,1
000562.png,554,fireboat,3.75,5,0,5,5,5,5,0
000563.png,554,fireboat,3.75,2.5,0,4,4,4,3.75,0
000564.png,554,fireboat,5,3.33,1.67,4,4,5,3.33,1
000565.png,554,fireboat,5,5,1.67,4,4,4,3.33,0
000567.png,554,fireboat,5,2.5,2.78,4,3,5,2.5,2
000568.png,554,fireboat,5,2.5,3.33,3,3,4,2.5,1
000570.png,567,frying pan,5,5,2.78,4,5,5,2.22,1
000572.png,567,frying pan,4.29,1.67,1.67,3,4,5,2.62,2
000574.png,567,frying pan,5,5,2.22,4,5,5,2.78,1
000575.png,567,frying pan,5,2.14,4.17,4,4,5,2.86,1
000576.png,567,frying pan,5,5,4.44,3,5,5,0.56,2
000578.png,567,frying pan,5,2.86,5,3,4,4,2.14,1
000579.png,567,frying pan,4.44,4.38,4.29,4,3,5,0.15,2
000581.png,575,golfcart,5,5,2.78,2,3,3,2.22,1
000588.png,575,golfcart,5,1.88,2.78,3,2,2,3.12,1
000591.png,585,hair spray,2.14,5,1.67,4,5,4,3.33,1
000593.png,585,hair spray,0.83,5,0.56,5,5,5,4.44,0
000594.png,585,hair spray,3.57,5,2.78,4,5,4,2.22,1
000595.png,585,hair spray,0,0,0,1,2,0,0,2
000596.png,585,hair spray,0,0,0,3,1,0,0,3
000599.png,585,hair spray,0,5,3.89,4,5,5,5,1
000601.png,590,hand-held computer,3.57,4.29,3.89,3,5,5,0.72,2
000602.png,590,hand-held computer,5,2.14,2.78,4,4,4,2.86,0
000603.png,590,hand-held computer,5,2.86,3.33,4,4,5,2.14,1
000604.png,590,hand-held computer,5,0,0,2,3,3,5,1
000607.png,590,hand-held computer,0,1.88,0,1,2,0,1.88,2
000609.png,590,hand-held computer,4.29,1.43,4.17,3,2,5,2.86,3
000610.png,605,iPod,5,0.56,3.89,3,3,4,4.44,1
000611.png,605,iPod,5,5,2.22,4,5,5,2.78,1
000613.png,605,iPod,0,2.78,5,4,3,4,5,1
000615.png,605,iPod,5,2.78,3.89,4,3,5,2.22,2
000616.png,605,iPod,0,0,3.33,3,2,3,3.33,1
000617.png,605,iPod,2.86,1.11,2.78,2,2,4,1.75,2
000619.png,605,iPod,3.33,1.11,3.33,3,3,5,2.22,2
000620.png,606,iron,4.29,2.14,1.5,3,3,3,2.79,0
000623.png,606,iron,4.38,4.29,3.5,4,3,5,0.88,2
000625.png,606,iron,4.38,4.5,4,3,5,5,0.5,2
000626.png,606,iron,3.5,1.5,0.5,4,2,4,3,2
000627.png,606,iron,5,2.22,3,2,3,5,2.78,3
000628.png,606,iron,4.38,0.62,3,2,2,3,3.76,1
000630.png,626,lighter,3,5,2.22,2,4,5,2.78,3
000633.png,626,lighter,5,5,1.67,5,5,5,3.33,0
000635.png,626,lighter,5,5,2.22,5,4,5,2.78,1
000637.png,626,lighter,5,5,2.78,5,5,5,2.22,0
000638.png,626,lighter,5,1.43,2.22,3,4,5,3.57,2
000640.png,632,loudspeaker,3.57,1.88,2.78,2,3,5,1.69,3
000641.png,632,loudspeaker,5,0,3.33,3,5,4,5,2
000642.png,632,loudspeaker,5,0.62,2.78,4,3,4,4.38,1
000644.png,632,loudspeaker,5,2.5,2.78,4,2,4,2.5,2
000645.png,632,loudspeaker,0,0,0,2,1,0,0,2
000646.png,632,loudspeaker,4.29,3.75,2.78,3,4,5,1.51,2
000647.png,632,loudspeaker,5,5,2.22,5,5,4,2.78,1
000649.png,632,loudspeaker,5,0.56,2.78,2,3,4,4.44,2
000651.png,633,loupe,3.57,5,2.78,4,5,5,2.22,1
000653.png,633,loupe,3.33,0,0,1,0,0,3.33,1
000655.png,633,loupe,3.33,1.88,4.44,4,2,5,2.56,3
000657.png,633,loupe,0,0,0,3,2,5,0,3
000660.png,634,lumbermill,4,1.67,1.11,4,3,2,2.89,2
000662.png,634,lumbermill,5,1.67,1.11,5,3,3,3.89,2
000664.png,634,lumbermill,2.5,0,1.43,3,2,4,2.5,2
000665.png,634,lumbermill,3.33,1.11,2.22,4,5,5,2.22,1
000666.png,634,lumbermill,2.5,1.11,2.78,3,3,5,1.67,2
000667.png,634,lumbermill,5,1.67,2.78,5,4,4,3.33,1
000669.png,634,lumbermill,0,0,1.67,2,1,3,1.67,2
000670.png,645,maypole,5,4.44,3.89,2,4,2,1.11,2
000671.png,645,maypole,0,1.67,3.33,1,3,2,3.33,2
000673.png,645,maypole,0,0,2.22,3,4,2,2.22,2
000674.png,645,maypole,3.12,4.38,3.75,1,4,2,1.26,3
000676.png,645,maypole,5,5,2.5,4,5,4,2.5,1
000677.png,645,maypole,5,3.89,3.33,2,4,2,1.67,2
000679.png,645,maypole,5,4.44,3.33,3,5,4,1.67,2
000681.png,654,minibus,5,5,2.78,5,5,5,2.22,0
000684.png,654,minibus,5,2.5,3.33,4,4,4,2.5,0
000685.png,654,minibus,4.29,3.75,1.11,3,3,4,3.18,1
000686.png,654,minibus,5,2.5,2.78,3,3,4,2.5,1
000687.png,654,minibus,5,3.12,1.67,4,3,4,3.33,1
000689.png,654,minibus,5,2.78,2.22,4,3,5,2.78,2
000692.png,679,necklace,3.33,1.11,3.75,4,3,4,2.64,1
000694.png,679,necklace,4.38,0,2.78,3,2,4,4.38,2
000700.png,687,organ,5,1.11,2.78,4,3,5,3.89,2
000701.png,687,organ,5,0,2.78,3,3,5,5,2
000702.png,687,organ,5,1.11,0,5,5,5,5,0
000703.png,687,organ,4.29,1.11,2.78,4,4,5,3.18,1
000704.png,687,organ,5,0,2.22,4,2,4,5,2
000705.png,687,organ,5,1.67,3.33,4,5,5,3.33,1
000706.png,687,organ,5,0,2.78,4,2,4,5,2
000707.png,687,organ,5,2.22,0,4,3,5,5,2
000708.png,687,organ,5,4.29,0,4,4,5,5,1
000709.png,687,organ,5,1.67,3.33,3,3,5,3.33,2
000710.png,730,plow,5,1.67,2.22,4,3,3,3.33,1
000711.png,730,plow,2.5,0,3.75,4,3,5,3.75,2
000712.png,730,plow,5,0,0,3,2,2,5,1
000713.png,730,plow,5,5,1.67,4,5,5,3.33,1
000714.png,730,plow,5,5,2.78,5,5,5,2.22,0
000715.png,730,plow,5,0,3,4,3,5,5,2
000716.png,730,plow,5,0,2.5,3,2,3,5,1
000717.png,730,plow,1.88,1.11,2.5,2,3,5,1.39,3
000718.png,730,plow,4.17,0,0,4,2,2,4.17,2
000719.png,730,plow,5,3.89,3.12,4,3,5,1.88,2
000720.png,743,prison,4,4.5,2.5,5,4,4,2,1
000721.png,743,prison,5,5,2.5,4,5,5,2.5,1
000723.png,743,prison,0,3.5,3.57,4,5,5,3.57,1
000724.png,743,prison,5,1,2.5,4,2,4,4,2
000725.png,743,prison,5,2,2.86,4,4,5,3,1
000726.png,743,prison,5,1,5,2,2,4,4,2
000727.png,743,prison,5,0,0,1,1,0,5,1
000728.png,743,prison,0,1,0,3,3,5,1,2
000729.png,743,prison,3.33,0,4.38,2,1,3,4.38,2
000731.png,746,puck,4.44,1.67,3.89,4,5,4,2.77,1
000732.png,746,puck,5,0,2.22,5,5,5,5,0
000733.png,746,puck,5,0.56,5,3,2,4,4.44,2
000734.png,746,puck,0,0,2.22,1,2,3,2.22,2
000735.png,746,puck,5,3.89,2.78,5,4,5,2.22,1
000736.png,746,puck,0,1.11,2.22,1,4,3,2.22,3
000737.png,746,puck,0,0,0,3,5,2,0,3
000738.png,746,puck,0,1.11,2.22,1,3,2,2.22,2
000739.png,746,puck,5,1.67,1.67,1,3,4,3.33,3
000741.png,755,radio telescope,5,5,2.5,5,5,5,2.5,0
000743.png,755,radio telescope,5,2.5,5,4,3,2,2.5,2
000744.png,755,radio telescope,5,2,4,4,3,2,3,2
000745.png,755,radio telescope,5,0,0,3,2,1,5,2
000746.png,755,radio telescope,5,3.33,4.5,4,3,5,1.67,2
000747.png,755,radio telescope,5,1,0,3,3,1,5,2
000750.png,756,rain barrel,5,3.57,3,4,4,4,2,0
000753.png,756,rain barrel,3.75,2.86,0.5,5,5,5,3.25,0
000756.png,756,rain barrel,4.17,5,3,4,4,5,2,1
000758.png,756,rain barrel,4.29,3.75,3,3,3,5,1.29,2
000759.png,756,rain barrel,0,1.5,0,3,2,5,1.5,3
000762.png,806,sock,5,2.78,4.44,4,4,4,2.22,0
000767.png,806,sock,4.29,1.11,4.44,3,2,3,3.33,1
000771.png,810,space bar,0,3.89,3.33,3,3,4,3.89,1
000774.png,810,space bar,5,1.67,2.78,3,2,5,3.33,3
000779.png,810,space bar,5,1.67,3.33,4,3,4,3.33,1
000780.png,819,stage,5,2.22,1.67,2,3,3,3.33,1
000782.png,819,stage,5,2.78,1.67,4,4,4,3.33,0
000783.png,819,stage,4.17,1.11,1.67,4,3,4,3.06,1
000784.png,819,stage,5,5,2.78,5,5,5,2.22,0
000785.png,819,stage,5,3.12,2.78,4,5,5,2.22,1
