run,img_id,sys_alignment,sys_authenticity,cl_alignment,cl_authenticity,cl_total
output_flux2_dev_800_1,59,3.33,4.8,3.33,5.0,16.65
output_flux2_dev_800_1,60,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,61,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,62,4.83,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,63,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,64,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,65,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,66,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,67,3.33,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,68,4.92,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,69,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,70,4.94,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,71,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,72,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,73,3.83,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,74,4.17,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,75,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,76,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,77,3.33,3.8,3.33,4.0,13.32
output_flux2_dev_800_1,78,5.0,4.9,5.0,5.0,25.0
output_flux2_dev_800_1,79,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,80,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,81,4.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,82,3.33,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,83,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,84,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,85,4.0,4.5,4.0,4.0,16.0
output_flux2_dev_800_1,86,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,87,3.5,4.2,3.75,4.0,15.0
output_flux2_dev_800_1,88,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,89,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,90,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,91,1.25,3.2,3.75,3.0,11.25
output_flux2_dev_800_1,92,4.67,4.9,5.0,5.0,25.0
output_flux2_dev_800_1,93,4.5,3.9,5.0,4.0,20.0
output_flux2_dev_800_1,94,0.67,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,95,4.5,4.9,5.0,5.0,25.0
output_flux2_dev_800_1,96,3.7,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,97,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,98,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,99,4.83,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,100,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,101,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,102,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,103,3.9,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,104,4.75,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,105,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_1,106,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,107,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,108,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,109,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,110,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,111,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,112,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,113,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,114,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,115,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,116,4.0,3.5,4.0,4.0,16.0
output_flux2_dev_800_1,117,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,118,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,119,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,120,5.0,4.7,4.0,5.0,20.0
output_flux2_dev_800_1,121,4.88,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,122,4.0,4.7,4.0,5.0,20.0
output_flux2_dev_800_1,123,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,124,4.58,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,125,4.0,3.0,4.0,3.0,12.0
output_flux2_dev_800_1,126,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,127,3.0,4.2,3.0,4.0,12.0
output_flux2_dev_800_1,128,5.0,2.5,5.0,2.0,10.0
output_flux2_dev_800_1,129,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,130,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,131,4.0,5.0,4.0,5.0,20.0
output_flux2_dev_800_1,132,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,133,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,134,4.0,3.8,4.0,4.0,16.0
output_flux2_dev_800_1,135,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,136,4.8,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,137,4.76,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,138,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,139,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,140,3.0,4.2,3.0,4.0,12.0
output_flux2_dev_800_1,141,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,142,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,143,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,144,4.0,5.0,4.0,5.0,20.0
output_flux2_dev_800_1,145,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,146,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,147,1.25,3.5,2.5,4.0,10.0
output_flux2_dev_800_1,148,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,149,3.7,3.5,4.0,4.0,16.0
output_flux2_dev_800_1,150,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,151,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,152,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,153,3.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,154,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,155,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,156,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,157,4.0,3.5,4.0,4.0,16.0
output_flux2_dev_800_1,158,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,159,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,160,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,161,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,162,4.0,5.0,4.0,5.0,20.0
output_flux2_dev_800_1,163,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,164,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,165,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,166,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,167,4.0,3.8,4.0,4.0,16.0
output_flux2_dev_800_1,168,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,169,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,170,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,171,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,172,2.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,173,4.0,4.5,4.0,4.0,16.0
output_flux2_dev_800_1,174,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,175,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,176,2.44,4.2,2.5,4.0,10.0
output_flux2_dev_800_1,177,4.14,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,178,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,179,5.0,2.8,5.0,3.0,15.0
output_flux2_dev_800_1,180,3.0,3.5,3.0,4.0,12.0
output_flux2_dev_800_1,181,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,182,2.5,3.8,2.5,4.0,10.0
output_flux2_dev_800_1,183,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,184,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,185,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,186,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,187,4.85,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,188,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,189,4.0,4.5,4.0,4.0,16.0
output_flux2_dev_800_1,190,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,191,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,192,4.8,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,193,4.0,4.8,4.0,5.0,20.0
output_flux2_dev_800_1,194,4.0,3.8,4.0,4.0,16.0
output_flux2_dev_800_1,195,2.5,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,196,5.0,4.9,5.0,5.0,25.0
output_flux2_dev_800_1,197,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,198,1.0,4.8,1.0,5.0,5.0
output_flux2_dev_800_1,199,4.0,2.8,4.0,3.0,12.0
output_flux2_dev_800_1,200,5.0,4.9,5.0,5.0,25.0
output_flux2_dev_800_1,201,2.17,3.8,3.33,4.0,13.32
output_flux2_dev_800_1,202,3.75,3.5,4.17,4.0,16.68
output_flux2_dev_800_1,203,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,204,3.0,5.0,3.0,5.0,15.0
output_flux2_dev_800_1,205,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,206,4.0,3.2,4.0,3.0,12.0
output_flux2_dev_800_1,207,5.0,3.0,5.0,3.0,15.0
output_flux2_dev_800_1,208,4.42,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,209,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,210,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,211,4.17,5.0,4.17,5.0,20.85
output_flux2_dev_800_1,212,4.94,4.3,4.38,4.0,17.52
output_flux2_dev_800_1,213,4.17,4.9,4.17,5.0,20.85
output_flux2_dev_800_1,214,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,215,4.29,4.2,4.29,4.0,17.16
output_flux2_dev_800_1,216,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,217,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,218,4.29,4.0,4.29,4.0,17.16
output_flux2_dev_800_1,219,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,220,2.86,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,221,5.0,4.95,5.0,5.0,25.0
output_flux2_dev_800_1,222,5.0,5.0,4.29,5.0,21.45
output_flux2_dev_800_1,223,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,224,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,225,3.57,4.2,3.57,4.0,14.28
output_flux2_dev_800_1,226,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,227,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,228,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,229,4.17,3.8,4.17,4.0,16.68
output_flux2_dev_800_1,230,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,231,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,232,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,233,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,234,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,235,4.29,3.8,4.29,4.0,17.16
output_flux2_dev_800_1,236,4.29,4.2,4.29,4.0,17.16
output_flux2_dev_800_1,237,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,238,4.0,2.5,4.0,2.0,8.0
output_flux2_dev_800_1,239,5.0,2.5,5.0,2.0,10.0
output_flux2_dev_800_1,240,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_1,241,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,242,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,243,4.29,4.0,4.29,4.0,17.16
output_flux2_dev_800_1,244,4.0,4.2,4.0,4.0,16.0
output_flux2_dev_800_1,245,4.17,3.5,4.17,4.0,16.68
output_flux2_dev_800_1,246,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,247,4.17,3.2,4.17,3.0,12.51
output_flux2_dev_800_1,248,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,249,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,250,5.0,3.0,5.0,3.0,15.0
output_flux2_dev_800_1,251,4.0,3.8,4.0,4.0,16.0
output_flux2_dev_800_1,252,2.0,4.9,2.0,5.0,10.0
output_flux2_dev_800_1,253,4.17,5.0,4.17,5.0,20.85
output_flux2_dev_800_1,254,2.6,3.2,4.0,3.0,12.0
output_flux2_dev_800_1,255,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,256,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,257,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,258,4.27,4.2,3.0,4.0,12.0
output_flux2_dev_800_1,259,1.95,2.5,2.0,2.0,4.0
output_flux2_dev_800_1,260,2.9,3.5,3.0,4.0,12.0
output_flux2_dev_800_1,261,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,262,3.0,4.2,3.0,4.0,12.0
output_flux2_dev_800_1,263,4.29,4.3,4.29,4.0,17.16
output_flux2_dev_800_1,264,4.29,3.5,4.29,4.0,17.16
output_flux2_dev_800_1,265,4.0,2.5,4.0,2.0,8.0
output_flux2_dev_800_1,266,4.0,4.3,4.0,4.0,16.0
output_flux2_dev_800_1,267,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,268,4.0,3.5,4.0,4.0,16.0
output_flux2_dev_800_1,269,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,270,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_1,271,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,272,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,273,4.17,3.2,4.17,3.0,12.51
output_flux2_dev_800_1,274,3.57,4.2,3.57,4.0,14.28
output_flux2_dev_800_1,275,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,276,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,277,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,278,4.17,3.5,4.17,4.0,16.68
output_flux2_dev_800_1,279,5.0,2.5,5.0,2.0,10.0
output_flux2_dev_800_1,280,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,281,5.0,2.5,5.0,2.0,10.0
output_flux2_dev_800_1,282,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,283,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,284,3.33,3.8,3.33,4.0,13.32
output_flux2_dev_800_1,285,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,286,2.0,4.6,4.0,5.0,20.0
output_flux2_dev_800_1,287,4.88,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,288,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,289,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,290,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,291,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,292,5.0,3.8,5.0,4.0,20.0
output_flux2_dev_800_1,293,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,294,3.93,3.2,4.29,3.0,12.87
output_flux2_dev_800_1,295,3.33,4.2,3.33,4.0,13.32
output_flux2_dev_800_1,296,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,297,4.29,3.8,4.29,4.0,17.16
output_flux2_dev_800_1,298,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,299,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,300,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,301,4.38,2.5,4.38,2.0,8.76
output_flux2_dev_800_1,302,4.44,2.5,4.44,2.0,8.88
output_flux2_dev_800_1,303,5.0,2.0,5.0,2.0,10.0
output_flux2_dev_800_1,304,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,305,4.44,4.2,4.44,4.0,17.76
output_flux2_dev_800_1,306,4.17,3.5,4.17,4.0,16.68
output_flux2_dev_800_1,307,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,308,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,309,1.92,3.8,3.33,4.0,13.32
output_flux2_dev_800_1,310,3.33,3.8,3.33,4.0,13.32
output_flux2_dev_800_1,311,1.69,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,312,3.75,3.2,3.75,3.0,11.25
output_flux2_dev_800_1,313,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,314,3.75,4.85,3.75,5.0,18.75
output_flux2_dev_800_1,315,4.38,4.2,4.38,4.0,17.52
output_flux2_dev_800_1,316,4.17,2.8,4.17,3.0,12.51
output_flux2_dev_800_1,317,5.0,3.0,5.0,3.0,15.0
output_flux2_dev_800_1,318,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,319,3.43,3.2,4.29,3.0,12.87
output_flux2_dev_800_1,320,5.0,4.9,5.0,5.0,25.0
output_flux2_dev_800_1,321,4.29,3.8,4.29,4.0,17.16
output_flux2_dev_800_1,322,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,323,4.29,2.8,4.29,3.0,12.87
output_flux2_dev_800_1,324,5.0,2.0,5.0,2.0,10.0
output_flux2_dev_800_1,325,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,326,3.33,4.7,3.33,5.0,16.65
output_flux2_dev_800_1,327,3.57,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,328,2.5,4.2,2.5,4.0,10.0
output_flux2_dev_800_1,329,4.38,4.2,4.38,4.0,17.52
output_flux2_dev_800_1,330,3.42,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,331,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,332,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,333,5.0,4.9,5.0,5.0,25.0
output_flux2_dev_800_1,334,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,335,4.29,4.3,4.29,4.0,17.16
output_flux2_dev_800_1,336,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,337,3.75,4.2,3.75,4.0,15.0
output_flux2_dev_800_1,338,4.29,3.0,4.29,3.0,12.87
output_flux2_dev_800_1,339,4.25,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,340,4.17,2.5,4.17,2.0,8.34
output_flux2_dev_800_1,341,5.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,342,3.75,4.8,3.75,5.0,18.75
output_flux2_dev_800_1,343,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_1,344,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,345,4.17,4.2,4.17,4.0,16.68
output_flux2_dev_800_1,346,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,347,3.67,3.2,4.17,3.0,12.51
output_flux2_dev_800_1,348,4.38,4.2,4.38,4.0,17.52
output_flux2_dev_800_1,349,2.0,4.2,4.38,4.0,17.52
output_flux2_dev_800_1,350,3.57,2.8,3.57,3.0,10.71
output_flux2_dev_800_1,351,3.12,3.8,4.38,4.0,17.52
output_flux2_dev_800_1,352,4.29,4.2,4.29,4.0,17.16
output_flux2_dev_800_1,353,3.33,4.2,3.33,4.0,13.32
output_flux2_dev_800_1,354,3.89,4.2,3.89,4.0,15.56
output_flux2_dev_800_1,356,4.38,4.2,4.38,4.0,17.52
output_flux2_dev_800_1,357,4.06,3.2,4.44,3.0,13.32
output_flux2_dev_800_1,358,3.75,4.5,3.75,4.0,15.0
output_flux2_dev_800_1,359,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,360,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,361,5.0,3.2,5.0,3.0,15.0
output_flux2_dev_800_1,362,5.0,4.6,5.0,5.0,25.0
output_flux2_dev_800_1,363,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,364,4.29,3.7,4.29,4.0,17.16
output_flux2_dev_800_1,365,5.0,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,366,1.42,2.1,4.17,2.0,8.34
output_flux2_dev_800_1,367,4.29,4.8,4.29,5.0,21.45
output_flux2_dev_800_1,368,4.44,4.2,4.44,4.0,17.76
output_flux2_dev_800_1,369,4.73,2.8,3.57,3.0,10.71
output_flux2_dev_800_1,370,3.33,5.0,3.33,5.0,16.65
output_flux2_dev_800_1,371,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,372,3.75,4.2,3.75,4.0,15.0
output_flux2_dev_800_1,373,4.16,3.2,3.57,3.0,10.71
output_flux2_dev_800_1,374,5.0,2.0,5.0,2.0,10.0
output_flux2_dev_800_1,375,5.0,2.8,5.0,3.0,15.0
output_flux2_dev_800_1,376,4.17,3.2,4.17,3.0,12.51
output_flux2_dev_800_1,377,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,378,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,379,2.5,3.2,2.5,3.0,7.5
output_flux2_dev_800_1,380,5.0,4.5,5.0,4.0,20.0
output_flux2_dev_800_1,381,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,382,5.0,4.7,5.0,5.0,25.0
output_flux2_dev_800_1,383,4.06,4.0,4.38,4.0,17.52
output_flux2_dev_800_1,384,5.0,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,385,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,386,4.38,2.5,4.38,2.0,8.76
output_flux2_dev_800_1,387,3.0,3.5,5.0,4.0,20.0
output_flux2_dev_800_1,388,4.38,2.5,4.38,2.0,8.76
output_flux2_dev_800_1,389,2.38,4.8,5.0,5.0,25.0
output_flux2_dev_800_1,390,4.38,4.2,4.38,4.0,17.52
output_flux2_dev_800_1,391,3.86,4.2,5.0,4.0,20.0
output_flux2_dev_800_1,392,3.33,3.2,3.33,3.0,9.99
output_flux2_dev_800_1,393,5.0,4.0,5.0,4.0,20.0
output_flux2_dev_800_1,394,0.25,3.8,1.88,4.0,7.52
output_flux2_dev_800_1,395,5.0,5.0,5.0,5.0,25.0
output_flux2_dev_800_1,396,5.0,4.3,5.0,4.0,20.0
output_flux2_dev_800_1,397,3.33,4.2,3.33,4.0,13.32
