image_id,source,alignment_score,artifact_score,class_id
36,Sys_VAR_ref_500_2,4.85,4.75,25
36,Sys_VAR_ref_500_3,3.85,2.0,25
36,User_VAR_500_1,3.57,4.0,25
36,User_VAR_500_2,4.29,3.0,25
36,User_VAR_500_3,3.57,3.0,25
38,Sys_VAR_ref_500_1,4.12,2.0,25
38,Sys_VAR_ref_500_2,4.82,2.0,25
38,Sys_VAR_ref_500_3,4.85,4.92,25
38,User_VAR_500_1,5.0,5.0,25
38,User_VAR_500_2,5.0,4.0,25
38,User_VAR_500_3,5.0,4.0,25
43,Sys_VAR_ref_500_1,4.12,3.65,35
43,Sys_VAR_ref_500_2,3.42,2.85,35
43,Sys_VAR_ref_500_3,4.15,3.65,35
43,User_VAR_500_1,3.75,4.0,35
43,User_VAR_500_2,4.0,4.0,35
43,User_VAR_500_3,3.75,4.0,35
44,Sys_VAR_ref_500_1,3.45,2.15,35
44,Sys_VAR_ref_500_2,2.85,1.9,35
44,Sys_VAR_ref_500_3,3.42,1.85,35
44,User_VAR_500_1,4.0,2.0,35
44,User_VAR_500_2,4.0,2.0,35
44,User_VAR_500_3,4.0,2.0,35
46,Sys_VAR_ref_500_1,2.85,2.1,35
46,Sys_VAR_ref_500_2,3.82,2.65,35
46,Sys_VAR_ref_500_3,2.15,2.85,35
46,User_VAR_500_1,5.0,3.0,35
46,User_VAR_500_2,5.0,3.0,35
46,User_VAR_500_3,5.0,2.0,35
47,Sys_VAR_ref_500_1,4.35,2.85,35
47,Sys_VAR_ref_500_2,4.12,3.85,35
47,Sys_VAR_ref_500_3,4.85,4.72,35
47,User_VAR_500_1,5.0,4.0,35
47,User_VAR_500_2,4.17,4.0,35
47,User_VAR_500_3,4.17,4.0,35
48,Sys_VAR_ref_500_1,4.15,2.85,35
48,Sys_VAR_ref_500_2,4.12,3.65,35
48,Sys_VAR_ref_500_3,2.85,3.6,35
48,User_VAR_500_1,4.0,4.0,35
48,User_VAR_500_2,4.0,3.0,35
48,User_VAR_500_3,4.0,3.0,35
50,Sys_VAR_ref_500_1,4.85,4.92,39
50,Sys_VAR_ref_500_2,4.12,2.85,39
50,Sys_VAR_ref_500_3,4.92,5.0,39
50,User_VAR_500_1,5.0,5.0,39
50,User_VAR_500_2,5.0,3.0,39
50,User_VAR_500_3,5.0,3.0,39
52,Sys_VAR_ref_500_1,4.92,4.85,39
52,Sys_VAR_ref_500_2,4.85,4.75,39
52,Sys_VAR_ref_500_3,4.95,4.85,39
52,User_VAR_500_1,5.0,5.0,39
52,User_VAR_500_2,5.0,5.0,39
52,User_VAR_500_3,5.0,5.0,39
53,Sys_VAR_ref_500_1,4.85,4.92,39
53,Sys_VAR_ref_500_2,4.85,4.62,39
53,Sys_VAR_ref_500_3,4.85,4.92,39
53,User_VAR_500_1,4.29,5.0,39
53,User_VAR_500_2,4.29,5.0,39
53,User_VAR_500_3,5.0,5.0,39
54,Sys_VAR_ref_500_1,4.65,3.85,39
54,Sys_VAR_ref_500_2,4.65,3.85,39
54,Sys_VAR_ref_500_3,4.65,3.85,39
54,User_VAR_500_1,5.0,4.0,39
54,User_VAR_500_2,5.0,4.0,39
54,User_VAR_500_3,5.0,4.0,39
55,Sys_VAR_ref_500_1,3.42,1.5,39
55,Sys_VAR_ref_500_2,3.42,1.5,39
55,Sys_VAR_ref_500_3,3.85,2.8,39
55,User_VAR_500_1,4.29,4.0,39
55,User_VAR_500_2,4.29,5.0,39
55,User_VAR_500_3,5.0,4.0,39
61,Sys_VAR_ref_500_1,3.42,2.85,49
61,Sys_VAR_ref_500_2,3.42,2.85,49
61,Sys_VAR_ref_500_3,3.85,3.62,49
61,User_VAR_500_1,5.0,2.0,49
61,User_VAR_500_2,5.0,2.0,49
61,User_VAR_500_3,5.0,4.0,49
62,Sys_VAR_ref_500_1,2.85,2.1,49
62,Sys_VAR_ref_500_2,2.85,3.12,49
62,Sys_VAR_ref_500_3,3.85,3.6,49
62,User_VAR_500_1,5.0,4.0,49
62,User_VAR_500_2,5.0,2.0,49
62,User_VAR_500_3,5.0,4.0,49
64,Sys_VAR_ref_500_1,2.85,1.92,49
64,Sys_VAR_ref_500_2,3.85,3.2,49
64,Sys_VAR_ref_500_3,2.85,4.72,49
64,User_VAR_500_1,4.29,2.0,49
64,User_VAR_500_2,4.29,3.0,49
64,User_VAR_500_3,5.0,3.0,49
65,Sys_VAR_ref_500_1,2.85,2.0,49
65,Sys_VAR_ref_500_2,2.15,2.85,49
65,Sys_VAR_ref_500_3,2.45,2.1,49
65,User_VAR_500_1,3.12,3.0,49
65,User_VAR_500_2,5.0,2.0,49
65,User_VAR_500_3,5.0,2.0,49
67,Sys_VAR_ref_500_1,3.85,3.6,49
67,Sys_VAR_ref_500_2,3.65,2.85,49
67,Sys_VAR_ref_500_3,4.12,3.65,49
67,User_VAR_500_1,5.0,3.0,49
67,User_VAR_500_2,5.0,3.0,49
67,User_VAR_500_3,5.0,5.0,49
70,Sys_VAR_ref_500_1,5.0,5.0,51
70,Sys_VAR_ref_500_2,4.12,2.85,51
70,Sys_VAR_ref_500_3,4.85,4.6,51
70,User_VAR_500_1,5.0,4.0,51
70,User_VAR_500_2,5.0,4.0,51
70,User_VAR_500_3,5.0,2.0,51
71,Sys_VAR_ref_500_1,2.85,1.92,51
71,Sys_VAR_ref_500_2,4.15,2.85,51
71,Sys_VAR_ref_500_3,3.85,2.65,51
71,User_VAR_500_1,2.86,2.0,51
71,User_VAR_500_2,4.0,3.0,51
71,User_VAR_500_3,4.0,2.0,51
72,Sys_VAR_ref_500_1,3.65,2.85,51
72,Sys_VAR_ref_500_2,4.65,3.82,51
72,Sys_VAR_ref_500_3,4.72,3.85,51
72,User_VAR_500_1,3.75,2.0,51
72,User_VAR_500_2,3.75,2.0,51
72,User_VAR_500_3,5.0,3.0,51
76,Sys_VAR_ref_500_1,4.92,4.95,51
76,Sys_VAR_ref_500_2,5.0,5.0,51
76,Sys_VAR_ref_500_3,4.92,4.95,51
76,User_VAR_500_1,5.0,5.0,51
76,User_VAR_500_2,5.0,5.0,51
76,User_VAR_500_3,5.0,5.0,51
79,Sys_VAR_ref_500_1,4.92,4.85,51
79,Sys_VAR_ref_500_2,4.92,4.85,51
79,Sys_VAR_ref_500_3,4.92,4.85,51
79,User_VAR_500_1,5.0,5.0,51
79,User_VAR_500_2,5.0,5.0,51
79,User_VAR_500_3,5.0,5.0,51
80,Sys_VAR_ref_500_1,4.85,4.92,52
80,Sys_VAR_ref_500_2,4.92,4.95,52
80,Sys_VAR_ref_500_3,4.85,4.92,52
80,User_VAR_500_1,5.0,5.0,52
80,User_VAR_500_2,5.0,5.0,52
80,User_VAR_500_3,5.0,5.0,52
83,Sys_VAR_ref_500_1,4.12,2.85,52
83,Sys_VAR_ref_500_2,4.12,2.85,52
83,Sys_VAR_ref_500_3,4.65,3.82,52
83,User_VAR_500_1,5.0,3.0,52
83,User_VAR_500_2,5.0,3.0,52
83,User_VAR_500_3,5.0,3.0,52
84,Sys_VAR_ref_500_1,4.65,3.82,52
84,Sys_VAR_ref_500_2,4.65,3.85,52
84,Sys_VAR_ref_500_3,4.92,4.65,52
84,User_VAR_500_1,5.0,5.0,52
84,User_VAR_500_2,5.0,5.0,52
84,User_VAR_500_3,5.0,5.0,52
85,Sys_VAR_ref_500_1,3.45,3.82,52
85,Sys_VAR_ref_500_2,2.85,3.62,52
85,Sys_VAR_ref_500_3,2.85,3.42,52
85,User_VAR_500_1,4.17,4.0,52
85,User_VAR_500_2,4.29,4.0,52
85,User_VAR_500_3,4.17,4.0,52
89,Sys_VAR_ref_500_1,4.92,4.85,52
89,Sys_VAR_ref_500_2,4.85,4.92,52
89,Sys_VAR_ref_500_3,4.92,4.95,52
89,User_VAR_500_1,5.0,5.0,52
89,User_VAR_500_2,5.0,5.0,52
89,User_VAR_500_3,5.0,5.0,52
90,Sys_VAR_ref_500_1,4.92,4.98,64
90,Sys_VAR_ref_500_2,4.65,4.2,64
90,Sys_VAR_ref_500_3,4.92,4.85,64
90,User_VAR_500_1,5.0,3.0,64
90,User_VAR_500_2,5.0,5.0,64
90,User_VAR_500_3,5.0,5.0,64
91,Sys_VAR_ref_500_1,2.85,1.65,64
91,Sys_VAR_ref_500_2,2.85,2.6,64
91,Sys_VAR_ref_500_3,2.85,3.6,64
91,User_VAR_500_1,3.57,3.0,64
91,User_VAR_500_2,2.86,4.0,64
91,User_VAR_500_3,2.14,4.0,64
94,Sys_VAR_ref_500_1,1.25,3.85,64
94,Sys_VAR_ref_500_2,1.85,3.62,64
94,Sys_VAR_ref_500_3,1.85,2.4,64
94,User_VAR_500_1,2.86,3.0,64
94,User_VAR_500_2,2.86,2.0,64
94,User_VAR_500_3,2.86,2.0,64
96,Sys_VAR_ref_500_1,2.85,3.42,64
96,Sys_VAR_ref_500_2,2.15,3.42,64
96,Sys_VAR_ref_500_3,1.85,2.4,64
96,User_VAR_500_1,4.29,3.0,64
96,User_VAR_500_2,4.29,4.0,64
96,User_VAR_500_3,4.29,3.0,64
98,Sys_VAR_ref_500_1,4.35,2.85,64
98,Sys_VAR_ref_500_2,4.65,3.12,64
98,Sys_VAR_ref_500_3,4.35,2.85,64
98,User_VAR_500_1,5.0,4.0,64
98,User_VAR_500_2,5.0,4.0,64
98,User_VAR_500_3,5.0,4.0,64
100,Sys_VAR_ref_500_1,4.85,3.62,80
100,Sys_VAR_ref_500_2,4.65,1.5,80
100,Sys_VAR_ref_500_3,4.62,2.85,80
100,User_VAR_500_1,5.0,4.0,80
100,User_VAR_500_2,5.0,3.0,80
100,User_VAR_500_3,5.0,4.0,80
103,Sys_VAR_ref_500_1,3.42,1.5,80
103,Sys_VAR_ref_500_2,4.65,1.5,80
103,Sys_VAR_ref_500_3,3.42,1.5,80
103,User_VAR_500_1,5.0,2.0,80
103,User_VAR_500_2,3.57,2.0,80
103,User_VAR_500_3,5.0,2.0,80
104,Sys_VAR_ref_500_1,3.42,1.85,80
104,Sys_VAR_ref_500_2,4.12,1.85,80
104,Sys_VAR_ref_500_3,3.85,1.25,80
104,User_VAR_500_1,4.29,2.0,80
104,User_VAR_500_2,5.0,1.0,80
104,User_VAR_500_3,5.0,1.0,80
105,Sys_VAR_ref_500_1,4.15,2.0,80
105,Sys_VAR_ref_500_2,3.85,1.92,80
105,Sys_VAR_ref_500_3,3.85,2.0,80
105,User_VAR_500_1,4.29,3.0,80
105,User_VAR_500_2,4.29,3.0,80
105,User_VAR_500_3,4.29,3.0,80
108,Sys_VAR_ref_500_1,3.85,1.5,80
108,Sys_VAR_ref_500_2,4.62,1.5,80
108,Sys_VAR_ref_500_3,4.15,1.5,80
108,User_VAR_500_1,4.17,3.0,80
108,User_VAR_500_2,4.17,4.0,80
108,User_VAR_500_3,4.17,4.0,80
110,Sys_VAR_ref_500_1,4.85,4.92,97
110,Sys_VAR_ref_500_2,4.82,4.65,97
110,Sys_VAR_ref_500_3,4.82,3.65,97
110,User_VAR_500_1,5.0,4.0,97
110,User_VAR_500_2,5.0,4.0,97
110,User_VAR_500_3,5.0,5.0,97
111,Sys_VAR_ref_500_1,4.72,3.85,97
111,Sys_VAR_ref_500_2,4.92,4.98,97
111,Sys_VAR_ref_500_3,4.92,4.95,97
111,User_VAR_500_1,5.0,4.0,97
111,User_VAR_500_2,5.0,4.0,97
111,User_VAR_500_3,5.0,4.0,97
113,Sys_VAR_ref_500_1,2.85,3.62,97
113,Sys_VAR_ref_500_2,2.85,4.12,97
113,Sys_VAR_ref_500_3,1.85,3.0,97
113,User_VAR_500_1,2.5,4.0,97
113,User_VAR_500_2,2.5,4.0,97
113,User_VAR_500_3,2.5,3.0,97
114,Sys_VAR_ref_500_1,4.65,1.5,97
114,Sys_VAR_ref_500_2,4.85,1.5,97
114,Sys_VAR_ref_500_3,2.85,4.15,97
114,User_VAR_500_1,1.67,4.0,97
114,User_VAR_500_2,2.5,4.0,97
114,User_VAR_500_3,1.67,4.0,97
119,Sys_VAR_ref_500_1,4.65,1.5,97
119,Sys_VAR_ref_500_2,4.15,1.5,97
119,Sys_VAR_ref_500_3,3.45,1.5,97
119,User_VAR_500_1,3.33,3.0,97
119,User_VAR_500_2,3.33,3.0,97
119,User_VAR_500_3,3.33,3.0,97
121,Sys_VAR_ref_500_1,4.65,2.85,106
121,Sys_VAR_ref_500_2,4.12,2.85,106
121,Sys_VAR_ref_500_3,4.65,3.85,106
121,User_VAR_500_1,5.0,5.0,106
121,User_VAR_500_2,5.0,4.0,106
121,User_VAR_500_3,5.0,4.0,106
123,Sys_VAR_ref_500_1,4.12,2.85,106
123,Sys_VAR_ref_500_2,4.85,3.0,106
123,Sys_VAR_ref_500_3,4.62,3.0,106
123,User_VAR_500_1,5.0,3.0,106
123,User_VAR_500_2,5.0,3.0,106
123,User_VAR_500_3,5.0,3.0,106
124,Sys_VAR_ref_500_1,4.85,3.75,106
124,Sys_VAR_ref_500_2,4.92,4.85,106
124,Sys_VAR_ref_500_3,4.85,3.65,106
124,User_VAR_500_1,5.0,5.0,106
124,User_VAR_500_2,5.0,5.0,106
124,User_VAR_500_3,5.0,5.0,106
125,Sys_VAR_ref_500_1,4.92,4.85,106
125,Sys_VAR_ref_500_2,4.92,4.85,106
125,Sys_VAR_ref_500_3,4.92,4.85,106
125,User_VAR_500_1,5.0,5.0,106
125,User_VAR_500_2,5.0,4.0,106
125,User_VAR_500_3,5.0,4.0,106
126,Sys_VAR_ref_500_1,3.65,1.5,106
126,Sys_VAR_ref_500_2,4.65,1.5,106
126,Sys_VAR_ref_500_3,4.85,4.92,106
126,User_VAR_500_1,5.0,2.0,106
126,User_VAR_500_2,5.0,3.0,106
126,User_VAR_500_3,5.0,3.0,106
131,Sys_VAR_ref_500_1,4.62,2.85,116
131,Sys_VAR_ref_500_2,4.82,3.15,116
131,Sys_VAR_ref_500_3,4.62,2.85,116
131,User_VAR_500_1,5.0,4.0,116
131,User_VAR_500_2,5.0,4.0,116
131,User_VAR_500_3,5.0,4.0,116
132,Sys_VAR_ref_500_1,4.65,3.85,116
132,Sys_VAR_ref_500_2,4.85,4.6,116
132,Sys_VAR_ref_500_3,4.65,2.85,116
132,User_VAR_500_1,5.0,4.0,116
132,User_VAR_500_2,5.0,4.0,116
132,User_VAR_500_3,5.0,5.0,116
135,Sys_VAR_ref_500_1,4.15,3.6,116
135,Sys_VAR_ref_500_2,4.85,3.65,116
135,Sys_VAR_ref_500_3,4.85,4.15,116
135,User_VAR_500_1,5.0,4.0,116
135,User_VAR_500_2,5.0,4.0,116
135,User_VAR_500_3,4.29,4.0,116
138,Sys_VAR_ref_500_1,4.92,4.85,116
138,Sys_VAR_ref_500_2,4.98,4.95,116
138,Sys_VAR_ref_500_3,4.92,4.85,116
138,User_VAR_500_1,5.0,4.0,116
138,User_VAR_500_2,5.0,4.0,116
138,User_VAR_500_3,5.0,4.0,116
139,Sys_VAR_ref_500_1,4.98,4.85,116
139,Sys_VAR_ref_500_2,4.98,4.95,116
139,Sys_VAR_ref_500_3,4.92,4.85,116
139,User_VAR_500_1,5.0,5.0,116
139,User_VAR_500_2,5.0,5.0,116
139,User_VAR_500_3,5.0,5.0,116
141,Sys_VAR_ref_500_1,1.85,1.42,118
141,Sys_VAR_ref_500_2,1.85,1.2,118
141,Sys_VAR_ref_500_3,2.85,1.42,118
141,User_VAR_500_1,4.17,2.0,118
141,User_VAR_500_2,3.33,2.0,118
141,User_VAR_500_3,4.0,2.0,118
142,Sys_VAR_ref_500_1,3.42,2.15,118
142,Sys_VAR_ref_500_2,3.85,2.65,118
142,Sys_VAR_ref_500_3,2.85,1.42,118
142,User_VAR_500_1,2.5,2.0,118
142,User_VAR_500_2,2.5,2.0,118
142,User_VAR_500_3,3.0,3.0,118
144,Sys_VAR_ref_500_1,4.35,3.15,118
144,Sys_VAR_ref_500_2,4.12,2.85,118
144,Sys_VAR_ref_500_3,4.12,3.65,118
144,User_VAR_500_1,3.75,4.0,118
144,User_VAR_500_2,3.75,4.0,118
144,User_VAR_500_3,4.38,4.0,118
145,Sys_VAR_ref_500_1,3.85,2.65,118
145,Sys_VAR_ref_500_2,4.15,2.85,118
145,Sys_VAR_ref_500_3,3.85,2.65,118
145,User_VAR_500_1,3.33,2.0,118
145,User_VAR_500_2,3.12,2.0,118
145,User_VAR_500_3,3.12,3.0,118
149,Sys_VAR_ref_500_1,1.85,1.45,118
149,Sys_VAR_ref_500_2,4.12,3.85,118
149,Sys_VAR_ref_500_3,4.35,3.82,118
149,User_VAR_500_1,4.29,4.0,118
149,User_VAR_500_2,1.67,2.0,118
149,User_VAR_500_3,4.38,2.0,118
152,Sys_VAR_ref_500_1,3.85,2.0,129
152,Sys_VAR_ref_500_2,4.12,2.0,129
152,Sys_VAR_ref_500_3,4.12,2.0,129
152,User_VAR_500_1,3.57,4.0,129
152,User_VAR_500_2,3.57,2.0,129
152,User_VAR_500_3,3.57,4.0,129
153,Sys_VAR_ref_500_1,3.85,1.5,129
153,Sys_VAR_ref_500_2,3.65,1.5,129
153,Sys_VAR_ref_500_3,4.65,1.5,129
153,User_VAR_500_1,3.33,2.0,129
153,User_VAR_500_2,3.33,2.0,129
153,User_VAR_500_3,3.33,3.0,129
157,Sys_VAR_ref_500_1,4.12,1.5,129
157,Sys_VAR_ref_500_2,4.85,1.5,129
157,Sys_VAR_ref_500_3,3.65,1.5,129
157,User_VAR_500_1,0.0,2.0,129
157,User_VAR_500_2,3.57,2.0,129
157,User_VAR_500_3,3.57,3.0,129
158,Sys_VAR_ref_500_1,3.42,1.5,129
158,Sys_VAR_ref_500_2,3.85,1.5,129
158,Sys_VAR_ref_500_3,4.12,1.5,129
158,User_VAR_500_1,4.29,2.0,129
158,User_VAR_500_2,3.57,3.0,129
158,User_VAR_500_3,4.29,3.0,129
159,Sys_VAR_ref_500_1,3.42,1.5,129
159,Sys_VAR_ref_500_2,3.42,1.5,129
159,Sys_VAR_ref_500_3,3.85,1.5,129
159,User_VAR_500_1,3.33,2.0,129
159,User_VAR_500_2,2.78,2.0,129
159,User_VAR_500_3,3.33,2.0,129
160,Sys_VAR_ref_500_1,4.15,2.85,144
160,Sys_VAR_ref_500_2,4.68,3.42,144
160,Sys_VAR_ref_500_3,4.12,3.65,144
160,User_VAR_500_1,4.29,3.0,144
160,User_VAR_500_2,4.29,3.0,144
160,User_VAR_500_3,4.29,4.0,144
163,Sys_VAR_ref_500_1,4.12,1.5,144
163,Sys_VAR_ref_500_2,4.62,2.85,144
163,Sys_VAR_ref_500_3,4.82,3.65,144
163,User_VAR_500_1,5.0,3.0,144
163,User_VAR_500_2,5.0,3.0,144
163,User_VAR_500_3,5.0,3.0,144
165,Sys_VAR_ref_500_1,2.85,1.5,144
165,Sys_VAR_ref_500_2,2.85,1.5,144
165,Sys_VAR_ref_500_3,2.85,1.5,144
165,User_VAR_500_1,3.89,2.0,144
165,User_VAR_500_2,3.89,3.0,144
165,User_VAR_500_3,3.89,2.0,144
166,Sys_VAR_ref_500_1,3.82,3.65,144
166,Sys_VAR_ref_500_2,2.85,3.62,144
166,Sys_VAR_ref_500_3,2.85,3.42,144
166,User_VAR_500_1,4.38,4.0,144
166,User_VAR_500_2,4.29,4.0,144
166,User_VAR_500_3,4.38,3.0,144
168,Sys_VAR_ref_500_1,4.35,1.5,144
168,Sys_VAR_ref_500_2,4.15,1.5,144
168,Sys_VAR_ref_500_3,4.15,1.5,144
168,User_VAR_500_1,5.0,2.0,144
168,User_VAR_500_2,5.0,3.0,144
168,User_VAR_500_3,4.44,3.0,144
170,Sys_VAR_ref_500_1,4.12,2.85,147
170,Sys_VAR_ref_500_2,4.85,3.65,147
170,Sys_VAR_ref_500_3,4.85,3.65,147
170,User_VAR_500_1,5.0,4.0,147
170,User_VAR_500_2,5.0,4.0,147
170,User_VAR_500_3,5.0,4.0,147
172,Sys_VAR_ref_500_1,4.82,3.65,147
172,Sys_VAR_ref_500_2,4.82,3.65,147
172,Sys_VAR_ref_500_3,4.85,3.65,147
172,User_VAR_500_1,5.0,4.0,147
172,User_VAR_500_2,5.0,4.0,147
172,User_VAR_500_3,5.0,4.0,147
173,Sys_VAR_ref_500_1,4.85,3.65,147
173,Sys_VAR_ref_500_2,4.62,3.85,147
173,Sys_VAR_ref_500_3,4.85,3.65,147
173,User_VAR_500_1,5.0,4.0,147
173,User_VAR_500_2,5.0,4.0,147
173,User_VAR_500_3,5.0,4.0,147
175,Sys_VAR_ref_500_1,4.85,4.62,147
175,Sys_VAR_ref_500_2,4.85,3.65,147
175,Sys_VAR_ref_500_3,4.65,3.15,147
175,User_VAR_500_1,5.0,4.0,147
175,User_VAR_500_2,5.0,4.0,147
175,User_VAR_500_3,5.0,4.0,147
179,Sys_VAR_ref_500_1,2.85,1.92,147
179,Sys_VAR_ref_500_2,4.12,2.35,147
179,Sys_VAR_ref_500_3,4.85,2.3,147
179,User_VAR_500_1,5.0,3.0,147
179,User_VAR_500_2,2.5,2.0,147
179,User_VAR_500_3,2.5,2.0,147
181,Sys_VAR_ref_500_1,4.12,2.0,150
181,Sys_VAR_ref_500_2,4.12,2.0,150
181,Sys_VAR_ref_500_3,4.62,2.0,150
181,User_VAR_500_1,3.89,3.0,150
181,User_VAR_500_2,3.89,3.0,150
181,User_VAR_500_3,3.57,3.0,150
183,Sys_VAR_ref_500_1,4.12,1.5,150
183,Sys_VAR_ref_500_2,4.65,1.5,150
183,Sys_VAR_ref_500_3,4.12,1.5,150
183,User_VAR_500_1,5.0,2.0,150
183,User_VAR_500_2,5.0,3.0,150
183,User_VAR_500_3,5.0,4.0,150
185,Sys_VAR_ref_500_1,4.12,1.5,150
185,Sys_VAR_ref_500_2,4.12,1.5,150
185,Sys_VAR_ref_500_3,4.12,1.5,150
185,User_VAR_500_1,3.75,2.0,150
185,User_VAR_500_2,3.89,2.0,150
185,User_VAR_500_3,3.89,2.0,150
187,Sys_VAR_ref_500_1,3.42,2.0,150
187,Sys_VAR_ref_500_2,2.85,1.92,150
187,Sys_VAR_ref_500_3,4.35,2.0,150
187,User_VAR_500_1,4.38,2.0,150
187,User_VAR_500_2,3.12,3.0,150
187,User_VAR_500_3,1.67,2.0,150
189,Sys_VAR_ref_500_1,4.15,1.5,150
189,Sys_VAR_ref_500_2,4.68,1.5,150
189,Sys_VAR_ref_500_3,4.12,1.5,150
189,User_VAR_500_1,5.0,2.0,150
189,User_VAR_500_2,5.0,2.0,150
