image_id,source,alignment_score,authenticity_score,class_id
27,Sys_DiT_noref_2,4.12,4.65,39
27,Sys_DiT_noref_3,3.45,2.85,39
28,User_DiT_1,5.0,3.0,39
28,User_DiT_2,4.17,2.0,39
28,User_DiT_3,5.0,3.0,39
28,Sys_DiT_noref_1,2.85,4.2,39
28,Sys_DiT_noref_2,3.85,4.92,39
28,Sys_DiT_noref_3,3.42,4.15,39
29,User_DiT_1,5.0,4.0,39
29,User_DiT_2,5.0,4.0,39
29,User_DiT_3,5.0,4.0,39
29,Sys_DiT_noref_1,4.62,4.91,39
29,Sys_DiT_noref_2,3.42,2.85,39
29,Sys_DiT_noref_3,2.15,4.92,39
30,User_DiT_1,5.0,4.0,49
30,User_DiT_2,5.0,4.0,49
30,User_DiT_3,5.0,4.0,49
30,Sys_DiT_noref_1,4.85,3.6,49
30,Sys_DiT_noref_2,4.85,3.92,49
30,Sys_DiT_noref_3,4.85,4.9,49
31,User_DiT_1,5.0,5.0,49
31,User_DiT_2,5.0,5.0,49
31,User_DiT_3,5.0,5.0,49
31,Sys_DiT_noref_1,4.85,4.2,49
31,Sys_DiT_noref_2,4.92,4.98,49
31,Sys_DiT_noref_3,4.85,4.92,49
32,User_DiT_1,5.0,5.0,49
32,User_DiT_2,5.0,5.0,49
32,User_DiT_3,5.0,4.0,49
32,Sys_DiT_noref_1,4.85,4.62,49
32,Sys_DiT_noref_2,4.65,3.85,49
32,Sys_DiT_noref_3,4.15,3.85,49
33,User_DiT_1,5.0,3.0,49
33,User_DiT_2,5.0,3.0,49
33,User_DiT_3,5.0,3.0,49
33,Sys_DiT_noref_1,1.85,2.4,49
33,Sys_DiT_noref_2,1.85,3.2,49
33,Sys_DiT_noref_3,2.15,3.8,49
34,User_DiT_1,5.0,4.0,49
34,User_DiT_2,4.38,4.0,49
34,User_DiT_3,4.38,4.0,49
34,Sys_DiT_noref_1,2.85,3.1,49
34,Sys_DiT_noref_2,3.42,2.85,49
34,Sys_DiT_noref_3,3.42,2.15,49
35,User_DiT_1,5.0,5.0,51
35,User_DiT_2,5.0,5.0,51
35,User_DiT_3,5.0,5.0,51
35,Sys_DiT_noref_1,4.92,4.98,51
35,Sys_DiT_noref_2,5.0,5.0,51
35,Sys_DiT_noref_3,4.92,4.98,51
36,User_DiT_1,0.0,1.0,51
36,User_DiT_2,0.0,1.0,51
36,User_DiT_3,0.0,1.0,51
36,Sys_DiT_noref_1,0.15,0.85,51
36,Sys_DiT_noref_2,0.15,0.85,51
36,Sys_DiT_noref_3,1.85,2.4,51
37,User_DiT_1,5.0,4.0,51
37,User_DiT_2,5.0,4.0,51
37,User_DiT_3,5.0,5.0,51
37,Sys_DiT_noref_1,4.85,3.15,51
37,Sys_DiT_noref_2,4.15,4.85,51
37,Sys_DiT_noref_3,5.0,5.0,51
38,User_DiT_1,5.0,5.0,51
38,User_DiT_2,5.0,5.0,51
38,User_DiT_3,5.0,5.0,51
38,Sys_DiT_noref_1,4.92,4.85,51
38,Sys_DiT_noref_2,4.92,4.95,51
38,Sys_DiT_noref_3,4.25,5.0,51
39,User_DiT_1,5.0,5.0,51
39,User_DiT_2,5.0,4.0,51
39,User_DiT_3,5.0,5.0,51
39,Sys_DiT_noref_1,4.92,4.85,51
39,Sys_DiT_noref_2,4.85,3.75,51
39,Sys_DiT_noref_3,4.85,3.75,51
40,User_DiT_1,5.0,5.0,52
40,User_DiT_2,5.0,4.0,52
40,User_DiT_3,5.0,4.0,52
40,Sys_DiT_noref_1,4.35,4.82,52
40,Sys_DiT_noref_2,4.35,4.12,52
40,Sys_DiT_noref_3,4.35,3.85,52
41,User_DiT_1,5.0,4.0,52
41,User_DiT_2,4.17,5.0,52
41,User_DiT_3,4.17,5.0,52
41,Sys_DiT_noref_1,4.65,3.85,52
41,Sys_DiT_noref_2,4.85,3.6,52
41,Sys_DiT_noref_3,4.65,4.85,52
42,User_DiT_1,5.0,5.0,52
42,User_DiT_2,5.0,5.0,52
42,User_DiT_3,5.0,5.0,52
42,Sys_DiT_noref_1,4.72,3.85,52
42,Sys_DiT_noref_2,4.98,5.0,52
42,Sys_DiT_noref_3,4.92,4.95,52
43,User_DiT_1,5.0,3.0,52
43,User_DiT_2,5.0,3.0,52
43,User_DiT_3,5.0,3.0,52
43,Sys_DiT_noref_1,2.85,1.2,52
43,Sys_DiT_noref_2,4.85,3.6,52
43,Sys_DiT_noref_3,4.65,2.85,52
44,User_DiT_1,1.43,2.0,52
44,User_DiT_2,0.71,2.0,52
44,User_DiT_3,1.43,3.0,52
44,Sys_DiT_noref_1,1.24,1.85,52
44,Sys_DiT_noref_2,1.15,0.85,52
44,Sys_DiT_noref_3,1.42,3.65,52
45,User_DiT_1,4.29,4.0,64
45,User_DiT_2,5.0,5.0,64
45,User_DiT_3,5.0,4.0,64
45,Sys_DiT_noref_1,4.85,4.92,64
45,Sys_DiT_noref_2,4.85,4.2,64
45,Sys_DiT_noref_3,4.85,4.92,64
46,User_DiT_1,2.86,3.0,64
46,User_DiT_2,4.29,2.0,64
46,User_DiT_3,4.29,2.0,64
46,Sys_DiT_noref_1,3.42,2.15,64
46,Sys_DiT_noref_2,2.85,1.65,64
46,Sys_DiT_noref_3,3.45,1.82,64
47,User_DiT_1,4.29,3.0,64
47,User_DiT_2,5.0,5.0,64
47,User_DiT_3,4.29,3.0,64
47,Sys_DiT_noref_1,4.62,3.85,64
47,Sys_DiT_noref_2,4.85,4.92,64
47,Sys_DiT_noref_3,3.45,1.85,64
48,User_DiT_1,3.75,4.0,64
48,User_DiT_2,2.5,1.0,64
48,User_DiT_3,2.5,4.0,64
48,Sys_DiT_noref_1,2.15,3.8,64
48,Sys_DiT_noref_2,1.85,4.2,64
48,Sys_DiT_noref_3,2.85,3.1,64
49,User_DiT_1,2.86,4.0,64
49,User_DiT_2,2.86,4.0,64
49,User_DiT_3,5.0,4.0,64
49,Sys_DiT_noref_1,2.85,3.65,64
49,Sys_DiT_noref_2,2.15,3.85,64
49,Sys_DiT_noref_3,2.85,1.65,64
50,User_DiT_1,5.0,3.0,80
50,User_DiT_2,5.0,2.0,80
50,User_DiT_3,5.0,3.0,80
50,Sys_DiT_noref_1,4.25,2.85,80
50,Sys_DiT_noref_2,4.65,3.82,80
50,Sys_DiT_noref_3,4.65,3.82,80
51,User_DiT_1,5.0,2.0,80
51,User_DiT_2,5.0,3.0,80
51,User_DiT_3,5.0,2.0,80
51,Sys_DiT_noref_1,4.85,3.65,80
51,Sys_DiT_noref_2,4.65,2.85,80
51,Sys_DiT_noref_3,4.65,2.85,80
52,User_DiT_1,0.62,0.0,80
52,User_DiT_2,4.29,2.0,80
52,User_DiT_3,0.62,1.0,80
52,Sys_DiT_noref_1,4.12,2.85,80
52,Sys_DiT_noref_2,4.12,2.85,80
52,Sys_DiT_noref_3,2.85,1.25,80
53,User_DiT_1,5.0,4.0,80
53,User_DiT_2,5.0,3.0,80
53,User_DiT_3,5.0,4.0,80
53,Sys_DiT_noref_1,4.85,3.2,80
53,Sys_DiT_noref_2,4.85,3.75,80
53,Sys_DiT_noref_3,4.65,3.82,80
54,User_DiT_1,5.0,4.0,80
54,User_DiT_2,3.57,4.0,80
54,User_DiT_3,0.0,2.0,80
54,Sys_DiT_noref_1,4.65,3.85,80
54,Sys_DiT_noref_2,4.65,3.85,80
54,Sys_DiT_noref_3,4.65,3.85,80
55,User_DiT_1,5.0,5.0,97
55,User_DiT_2,5.0,5.0,97
55,User_DiT_3,5.0,4.0,97
55,Sys_DiT_noref_1,4.92,5.0,97
55,Sys_DiT_noref_2,4.92,5.0,97
55,Sys_DiT_noref_3,5.0,5.0,97
56,User_DiT_1,5.0,5.0,97
56,User_DiT_2,5.0,5.0,97
56,User_DiT_3,5.0,5.0,97
56,Sys_DiT_noref_1,4.95,5.0,97
56,Sys_DiT_noref_2,4.85,4.92,97
56,Sys_DiT_noref_3,4.98,4.99,97
57,User_DiT_1,5.0,3.0,97
57,User_DiT_2,5.0,3.0,97
57,User_DiT_3,5.0,4.0,97
57,Sys_DiT_noref_1,4.72,3.85,97
57,Sys_DiT_noref_2,4.15,2.85,97
57,Sys_DiT_noref_3,4.12,2.85,97
58,User_DiT_1,5.0,4.0,97
58,User_DiT_2,5.0,5.0,97
58,User_DiT_3,5.0,4.0,97
58,Sys_DiT_noref_1,4.92,5.0,97
58,Sys_DiT_noref_2,4.92,4.98,97
58,Sys_DiT_noref_3,4.72,4.85,97
59,User_DiT_1,5.0,5.0,97
59,User_DiT_2,5.0,5.0,97
59,User_DiT_3,5.0,5.0,97
59,Sys_DiT_noref_1,4.98,5.0,97
59,Sys_DiT_noref_2,4.85,4.92,97
59,Sys_DiT_noref_3,4.85,3.65,97
60,User_DiT_1,5.0,4.0,106
60,User_DiT_2,5.0,4.0,106
60,User_DiT_3,5.0,2.0,106
60,Sys_DiT_noref_1,4.65,3.85,106
60,Sys_DiT_noref_2,4.65,3.85,106
60,Sys_DiT_noref_3,4.85,4.2,106
61,User_DiT_1,5.0,3.0,106
61,User_DiT_2,5.0,4.0,106
61,User_DiT_3,5.0,4.0,106
61,Sys_DiT_noref_1,4.65,2.85,106
61,Sys_DiT_noref_2,4.65,3.2,106
61,Sys_DiT_noref_3,4.85,3.7,106
62,User_DiT_1,5.0,3.0,106
62,User_DiT_2,5.0,4.0,106
62,User_DiT_3,5.0,3.0,106
62,Sys_DiT_noref_1,4.85,3.92,106
62,Sys_DiT_noref_2,4.35,3.82,106
62,Sys_DiT_noref_3,4.65,3.85,106
63,User_DiT_1,4.17,4.0,106
63,User_DiT_2,5.0,3.0,106
63,User_DiT_3,4.17,4.0,106
63,Sys_DiT_noref_1,2.85,3.6,106
63,Sys_DiT_noref_2,3.85,4.12,106
63,Sys_DiT_noref_3,3.85,2.15,106
64,User_DiT_1,5.0,3.0,106
64,User_DiT_2,5.0,3.0,106
64,User_DiT_3,5.0,4.0,106
64,Sys_DiT_noref_1,4.65,3.85,106
64,Sys_DiT_noref_2,4.12,3.15,106
64,Sys_DiT_noref_3,4.85,4.9,106
65,User_DiT_1,5.0,4.0,116
65,User_DiT_2,5.0,4.0,116
65,User_DiT_3,5.0,4.0,116
65,Sys_DiT_noref_1,2.85,3.12,116
65,Sys_DiT_noref_2,3.85,4.12,116
65,Sys_DiT_noref_3,2.85,2.1,116
66,User_DiT_1,5.0,5.0,116
66,User_DiT_2,5.0,5.0,116
66,User_DiT_3,5.0,5.0,116
66,Sys_DiT_noref_1,4.98,4.95,116
66,Sys_DiT_noref_2,4.92,4.85,116
66,Sys_DiT_noref_3,5.0,4.95,116
67,User_DiT_1,5.0,4.0,116
67,User_DiT_2,5.0,3.0,116
67,User_DiT_3,5.0,4.0,116
67,Sys_DiT_noref_1,4.85,4.62,116
67,Sys_DiT_noref_2,4.85,4.6,116
67,Sys_DiT_noref_3,4.85,3.65,116
68,User_DiT_1,5.0,5.0,116
68,User_DiT_2,5.0,4.0,116
68,User_DiT_3,5.0,4.0,116
68,Sys_DiT_noref_1,4.92,4.85,116
68,Sys_DiT_noref_2,4.65,3.85,116
68,Sys_DiT_noref_3,4.92,4.85,116
69,User_DiT_1,5.0,4.0,116
69,User_DiT_2,5.0,4.0,116
69,User_DiT_3,5.0,4.0,116
69,Sys_DiT_noref_1,3.45,3.82,116
69,Sys_DiT_noref_2,3.82,4.63,116
69,Sys_DiT_noref_3,3.82,4.91,116
70,User_DiT_1,3.33,2.0,118
70,User_DiT_2,4.29,3.0,118
70,User_DiT_3,3.57,3.0,118
70,Sys_DiT_noref_1,2.85,3.62,118
70,Sys_DiT_noref_2,2.15,3.85,118
70,Sys_DiT_noref_3,2.85,3.42,118
71,User_DiT_1,2.14,4.0,118
71,User_DiT_2,2.86,3.0,118
71,User_DiT_3,2.14,3.0,118
71,Sys_DiT_noref_1,3.85,2.15,118
71,Sys_DiT_noref_2,3.45,1.82,118
71,Sys_DiT_noref_3,4.12,3.65,118
72,User_DiT_1,2.5,2.0,118
72,User_DiT_2,2.5,1.0,118
72,User_DiT_3,2.5,2.0,118
72,Sys_DiT_noref_1,2.15,1.85,118
72,Sys_DiT_noref_2,2.85,1.42,118
72,Sys_DiT_noref_3,2.85,1.45,118
73,User_DiT_1,5.0,4.0,118
73,User_DiT_2,5.0,4.0,118
73,User_DiT_3,5.0,5.0,118
73,Sys_DiT_noref_1,4.12,3.85,118
73,Sys_DiT_noref_2,4.85,4.72,118
73,Sys_DiT_noref_3,4.85,4.72,118
74,User_DiT_1,5.0,4.0,118
74,User_DiT_2,5.0,2.0,118
74,User_DiT_3,5.0,4.0,118
74,Sys_DiT_noref_1,3.42,2.85,118
74,Sys_DiT_noref_2,2.14,3.82,118
74,Sys_DiT_noref_3,2.15,3.42,118
75,User_DiT_1,3.57,2.0,129
75,User_DiT_2,3.57,2.0,129
75,User_DiT_3,3.57,2.0,129
75,Sys_DiT_noref_1,3.45,2.65,129
75,Sys_DiT_noref_2,3.82,1.9,129
75,Sys_DiT_noref_3,3.82,2.65,129
76,User_DiT_1,4.29,3.0,129
76,User_DiT_2,2.86,2.0,129
76,User_DiT_3,4.29,3.0,129
76,Sys_DiT_noref_1,3.85,2.15,129
76,Sys_DiT_noref_2,3.85,1.42,129
76,Sys_DiT_noref_3,4.12,2.85,129
77,User_DiT_1,4.29,4.0,129
77,User_DiT_2,4.29,4.0,129
77,User_DiT_3,4.29,4.0,129
77,Sys_DiT_noref_1,4.65,3.8,129
77,Sys_DiT_noref_2,4.85,3.72,129
77,Sys_DiT_noref_3,4.65,3.82,129
78,User_DiT_1,3.57,3.0,129
78,User_DiT_2,3.57,2.0,129
78,User_DiT_3,3.57,3.0,129
78,Sys_DiT_noref_1,4.15,2.85,129
78,Sys_DiT_noref_2,4.15,2.85,129
78,Sys_DiT_noref_3,4.12,1.85,129
79,User_DiT_1,3.57,4.0,129
79,User_DiT_2,3.57,4.0,129
79,User_DiT_3,3.57,4.0,129
79,Sys_DiT_noref_1,4.72,3.85,129
79,Sys_DiT_noref_2,4.12,2.85,129
79,Sys_DiT_noref_3,4.65,3.2,129
80,User_DiT_1,4.44,3.0,144
80,User_DiT_2,4.44,3.0,144
80,User_DiT_3,4.44,2.0,144
80,Sys_DiT_noref_1,4.12,3.85,144
80,Sys_DiT_noref_2,4.12,3.85,144
80,Sys_DiT_noref_3,3.85,2.15,144
81,User_DiT_1,5.0,4.0,144
81,User_DiT_2,5.0,4.0,144
81,User_DiT_3,5.0,3.0,144
81,Sys_DiT_noref_1,4.85,3.2,144
81,Sys_DiT_noref_2,4.65,2.85,144
81,Sys_DiT_noref_3,4.65,3.8,144
82,User_DiT_1,4.44,3.0,144
82,User_DiT_2,4.44,3.0,144
82,User_DiT_3,4.38,2.0,144
82,Sys_DiT_noref_1,4.65,3.85,144
82,Sys_DiT_noref_2,4.12,3.85,144
82,Sys_DiT_noref_3,4.12,2.85,144
83,User_DiT_1,5.0,2.0,144
83,User_DiT_2,5.0,2.0,144
83,User_DiT_3,5.0,3.0,144
83,Sys_DiT_noref_1,4.65,2.85,144
83,Sys_DiT_noref_2,4.65,2.85,144
83,Sys_DiT_noref_3,4.65,2.85,144
84,User_DiT_1,4.38,3.0,144
84,User_DiT_2,4.38,2.0,144
84,User_DiT_3,4.38,3.0,144
84,Sys_DiT_noref_1,4.12,2.85,144
84,Sys_DiT_noref_2,4.25,3.15,144
84,Sys_DiT_noref_3,4.12,2.85,144
85,User_DiT_1,5.0,3.0,147
85,User_DiT_2,5.0,3.0,147
85,User_DiT_3,5.0,2.0,147
85,Sys_DiT_noref_1,4.12,3.65,147
85,Sys_DiT_noref_2,3.85,2.15,147
85,Sys_DiT_noref_3,3.85,1.92,147
86,User_DiT_1,5.0,4.0,147
86,User_DiT_2,5.0,4.0,147
86,User_DiT_3,5.0,4.0,147
86,Sys_DiT_noref_1,4.85,4.2,147
86,Sys_DiT_noref_2,4.82,3.65,147
86,Sys_DiT_noref_3,4.92,4.65,147
87,User_DiT_1,5.0,4.0,147
87,User_DiT_2,5.0,4.0,147
87,User_DiT_3,5.0,4.0,147
87,Sys_DiT_noref_1,4.85,4.6,147
87,Sys_DiT_noref_2,4.82,4.15,147
87,Sys_DiT_noref_3,4.85,4.2,147
88,User_DiT_1,5.0,4.0,147
88,User_DiT_2,5.0,4.0,147
88,User_DiT_3,5.0,5.0,147
88,Sys_DiT_noref_1,4.85,4.62,147
88,Sys_DiT_noref_2,4.85,4.2,147
88,Sys_DiT_noref_3,4.85,4.62,147
89,User_DiT_1,5.0,5.0,147
89,User_DiT_2,5.0,4.0,147
89,User_DiT_3,5.0,4.0,147
89,Sys_DiT_noref_1,3.85,4.92,147
89,Sys_DiT_noref_2,4.15,5.0,147
89,Sys_DiT_noref_3,3.85,4.92,147
90,User_DiT_1,5.0,3.0,150
90,User_DiT_2,5.0,2.0,150
90,User_DiT_3,5.0,3.0,150
90,Sys_DiT_noref_1,4.85,4.72,150
90,Sys_DiT_noref_2,4.85,4.72,150
90,Sys_DiT_noref_3,4.85,3.92,150
91,User_DiT_1,5.0,3.0,150
91,User_DiT_2,5.0,2.0,150
91,User_DiT_3,5.0,2.0,150
91,Sys_DiT_noref_1,4.12,2.85,150
91,Sys_DiT_noref_2,4.12,2.85,150
91,Sys_DiT_noref_3,4.12,2.85,150
92,User_DiT_1,3.57,4.0,150
92,User_DiT_2,3.57,4.0,150
92,User_DiT_3,3.57,4.0,150
92,Sys_DiT_noref_1,3.42,2.85,150
92,Sys_DiT_noref_2,4.72,3.85,150
92,Sys_DiT_noref_3,4.12,3.85,150
93,User_DiT_1,4.17,5.0,150
93,User_DiT_2,4.17,4.0,150
93,User_DiT_3,4.17,5.0,150
93,Sys_DiT_noref_1,4.85,4.2,150
93,Sys_DiT_noref_2,4.85,3.72,150
93,Sys_DiT_noref_3,4.92,5.0,150
94,User_DiT_1,4.38,4.0,150
94,User_DiT_2,4.38,2.0,150
94,User_DiT_3,4.38,3.0,150
94,Sys_DiT_noref_1,4.12,3.65,150
94,Sys_DiT_noref_2,4.65,3.85,150
94,Sys_DiT_noref_3,4.65,3.2,150
95,User_DiT_1,5.0,4.0,156
95,User_DiT_2,5.0,4.0,156
95,User_DiT_3,5.0,3.0,156
95,Sys_DiT_noref_1,4.65,2.85,156
95,Sys_DiT_noref_2,4.65,3.8,156
95,Sys_DiT_noref_3,4.62,2.85,156
96,User_DiT_1,5.0,3.0,156
96,User_DiT_2,5.0,3.0,156
96,User_DiT_3,5.0,4.0,156
96,Sys_DiT_noref_1,4.85,3.92,156
96,Sys_DiT_noref_2,4.65,3.85,156
96,Sys_DiT_noref_3,4.85,3.75,156
97,User_DiT_1,5.0,2.0,156
97,User_DiT_2,5.0,4.0,156
97,User_DiT_3,5.0,3.0,156
97,Sys_DiT_noref_1,4.85,3.72,156
97,Sys_DiT_noref_2,4.85,4.2,156
97,Sys_DiT_noref_3,4.12,3.85,156
98,User_DiT_1,5.0,3.0,156
98,User_DiT_2,5.0,2.0,156
98,User_DiT_3,5.0,2.0,156
98,Sys_DiT_noref_1,3.65,2.85,156
98,Sys_DiT_noref_2,4.65,3.85,156
98,Sys_DiT_noref_3,4.85,4.2,156
99,User_DiT_1,5.0,4.0,156
99,User_DiT_2,5.0,3.0,156
99,User_DiT_3,5.0,4.0,156
99,Sys_DiT_noref_1,4.85,3.65,156
99,Sys_DiT_noref_2,4.68,2.35,156
99,Sys_DiT_noref_3,4.85,4.1,156
100,User_DiT_1,2.0,3.0,159
100,User_DiT_2,2.0,1.0,159
100,User_DiT_3,2.0,1.0,159
100,Sys_DiT_noref_1,1.25,0.85,159
100,Sys_DiT_noref_2,3.85,2.65,159
100,Sys_DiT_noref_3,3.82,2.15,159
101,User_DiT_1,3.12,2.0,159
101,User_DiT_2,3.12,4.0,159
101,User_DiT_3,3.12,2.0,159
101,Sys_DiT_noref_1,1.85,3.72,159
101,Sys_DiT_noref_2,1.85,2.4,159
101,Sys_DiT_noref_3,1.85,3.2,159
102,User_DiT_1,5.0,3.0,159
102,User_DiT_2,5.0,4.0,159
102,User_DiT_3,5.0,3.0,159
102,Sys_DiT_noref_1,2.85,3.42,159
102,Sys_DiT_noref_2,3.85,1.92,159
102,Sys_DiT_noref_3,4.65,3.8,159
103,User_DiT_1,0.0,1.0,159
103,User_DiT_2,0.0,1.0,159
