image_id,output_DiT_val_1_alignment_score,output_DiT_val_1_artifact_score,output_DiT_val_2_alignment_score,output_DiT_val_2_artifact_score,output_DiT_val_3_alignment_score,output_DiT_val_3_artifact_score,alignment_score_mean,alignment_score_std,alignment_score_range,alignment_score_min,alignment_score_max,artifact_score_mean,artifact_score_std,artifact_score_range,artifact_score_min,artifact_score_max
000012,3.82,1.5,3.82,1.5,4.2,1.5,3.9466666666666668,0.17913371790059218,0.38000000000000034,3.82,4.2,1.5,0.0,0.0,1.5,1.5
000013,3.85,3.2,3.65,2.85,3.75,2.85,3.75,0.08164965809277268,0.20000000000000018,3.65,3.85,2.966666666666667,0.16499158227686112,0.3500000000000001,2.85,3.2
000014,4.72,4.15,4.12,3.85,4.12,3.65,4.32,0.28284271247461884,0.5999999999999996,4.12,4.72,3.8833333333333333,0.20548046676563272,0.5000000000000004,3.65,4.15
000015,2.73,1.25,1.85,2.1,1.25,2.85,1.9433333333333334,0.6078011370688791,1.48,1.25,2.73,2.066666666666667,0.653622385037586,1.6,1.25,2.85
000016,3.85,1.5,3.82,1.5,3.82,1.5,3.83,0.014142135623731067,0.03000000000000025,3.82,3.85,1.5,0.0,0.0,1.5,1.5
000017,3.42,1.5,3.82,1.5,3.45,1.5,3.563333333333334,0.18190351532856328,0.3999999999999999,3.42,3.82,1.5,0.0,0.0,1.5,1.5
000018,3.82,1.5,3.25,1.5,3.82,2.55,3.6300000000000003,0.26870057685088794,0.5699999999999998,3.25,3.82,1.8499999999999999,0.4949747468305832,1.0499999999999998,1.5,2.55
000019,3.85,1.5,3.82,1.5,4.25,1.5,3.973333333333333,0.1960158723731888,0.43000000000000016,3.82,4.25,1.5,0.0,0.0,1.5,1.5
000020,4.12,1.5,4.2,1.5,4.25,1.5,4.19,0.05354126134736334,0.1299999999999999,4.12,4.25,1.5,0.0,0.0,1.5,1.5
000021,4.12,1.5,4.12,1.5,3.45,1.5,3.896666666666667,0.31584102892999116,0.6699999999999999,3.45,4.12,1.5,0.0,0.0,1.5,1.5
000022,4.12,1.5,3.85,1.5,4.2,1.5,4.0566666666666675,0.1497405163014414,0.3500000000000001,3.85,4.2,1.5,0.0,0.0,1.5,1.5
000023,2.15,3.42,1.85,2.15,2.85,3.12,2.283333333333333,0.41899350299921784,1.0,1.85,2.85,2.896666666666667,0.5419922098661156,1.27,2.15,3.42
000024,4.12,1.5,4.25,1.5,3.82,1.5,4.0633333333333335,0.18006171781426014,0.43000000000000016,3.82,4.25,1.5,0.0,0.0,1.5,1.5
000025,4.12,2.85,4.35,3.85,4.65,3.82,4.373333333333333,0.21699974398346403,0.5300000000000002,4.12,4.65,3.5066666666666664,0.4644949467492144,1.0,2.85,3.85
000026,4.2,1.5,4.12,1.5,4.25,1.5,4.19,0.05354126134736334,0.1299999999999999,4.12,4.25,1.5,0.0,0.0,1.5,1.5
000027,3.75,2.65,4.25,1.5,4.12,1.5,4.04,0.2118175315375634,0.5,3.75,4.25,1.8833333333333335,0.5421151989096864,1.15,1.5,2.65
000028,3.45,1.5,3.45,1.5,3.85,1.5,3.5833333333333335,0.18856180831641264,0.3999999999999999,3.45,3.85,1.5,0.0,0.0,1.5,1.5
000029,4.65,1.5,3.45,1.5,4.25,1.5,4.116666666666667,0.4988876515698589,1.2000000000000002,3.45,4.65,1.5,0.0,0.0,1.5,1.5
000030,4.25,3.0,4.25,3.0,4.25,3.0,4.25,0.0,0.0,4.25,4.25,3.0,0.0,0.0,3.0,3.0
000031,4.72,2.0,4.75,2.0,4.85,2.0,4.7733333333333325,0.05557777333511014,0.1299999999999999,4.72,4.85,2.0,0.0,0.0,2.0,2.0
000032,3.82,1.5,3.85,1.5,4.52,2.35,4.0633333333333335,0.3231442746239242,0.6999999999999997,3.82,4.52,1.7833333333333332,0.40069384267237695,0.8500000000000001,1.5,2.35
000033,4.25,2.75,4.75,3.0,4.25,3.0,4.416666666666667,0.23570226039551584,0.5,4.25,4.75,2.9166666666666665,0.11785113019775792,0.25,2.75,3.0
000034,3.25,1.5,4.12,2.85,3.25,1.5,3.5400000000000005,0.4101219330881976,0.8700000000000001,3.25,4.12,1.95,0.6363961030678927,1.35,1.5,2.85
000035,2.85,3.42,2.15,1.5,2.85,1.5,2.6166666666666667,0.32998316455372223,0.7000000000000002,2.15,2.85,2.14,0.9050966799187808,1.92,1.5,3.42
000036,4.2,1.5,3.2,1.5,4.2,1.5,3.866666666666667,0.4714045207910317,1.0,3.2,4.2,1.5,0.0,0.0,1.5,1.5
000037,3.82,1.5,3.82,1.5,3.82,1.5,3.82,0.0,0.0,3.82,3.82,1.5,0.0,0.0,1.5,1.5
000038,4.85,4.72,4.92,4.85,5.0,5.0,4.923333333333333,0.061282587702834256,0.15000000000000036,4.85,5.0,4.8566666666666665,0.11440668201153686,0.28000000000000025,4.72,5.0
000039,3.42,2.0,3.82,2.0,4.25,2.0,3.83,0.3389198528659345,0.8300000000000001,3.42,4.25,2.0,0.0,0.0,2.0,2.0
000040,3.85,2.0,3.82,2.0,4.15,2.85,3.94,0.14899664425751358,0.3300000000000005,3.82,4.15,2.283333333333333,0.40069384267237695,0.8500000000000001,2.0,2.85
000041,3.82,2.55,3.82,2.47,3.82,2.35,3.82,0.0,0.0,3.82,3.82,2.4566666666666666,0.08219218670625292,0.19999999999999973,2.35,2.55
000042,3.12,1.5,3.85,3.15,3.82,3.65,3.596666666666667,0.33727667508375897,0.73,3.12,3.85,2.766666666666667,0.9186342519680446,2.15,1.5,3.65
000043,2.15,1.5,1.23,1.5,1.25,1.5,1.5433333333333332,0.42905581092544226,0.9199999999999999,1.23,2.15,1.5,0.0,0.0,1.5,1.5
000044,1.85,2.1,1.85,3.75,1.85,1.2,1.8500000000000003,2.220446049250313e-16,0.0,1.85,1.85,2.35,1.0559356040971437,2.55,1.2,3.75
000045,3.85,1.5,3.85,1.5,3.85,1.5,3.85,0.0,0.0,3.85,3.85,1.5,0.0,0.0,1.5,1.5
000046,4.12,2.85,3.82,2.7,3.82,2.7,3.92,0.14142135623730964,0.30000000000000027,3.82,4.12,2.75,0.07071067811865471,0.1499999999999999,2.7,2.85
000047,3.82,1.5,3.82,1.5,3.25,1.5,3.6300000000000003,0.268700576850888,0.5699999999999998,3.25,3.82,1.5,0.0,0.0,1.5,1.5
000048,2.15,2.85,1.85,2.1,2.15,1.85,2.0500000000000003,0.14142135623730942,0.2999999999999998,1.85,2.15,2.266666666666667,0.42491829279939874,1.0,1.85,2.85
000049,3.82,3.65,3.65,3.1,3.42,3.85,3.6300000000000003,0.16391054470858993,0.3999999999999999,3.42,3.82,3.533333333333333,0.3171049598406741,0.75,3.1,3.85
000050,4.35,1.5,4.25,1.5,4.18,1.5,4.26,0.06976149845485445,0.16999999999999993,4.18,4.35,1.5,0.0,0.0,1.5,1.5
000051,4.25,4.1,4.12,3.85,4.12,3.85,4.163333333333334,0.06128258770283406,0.1299999999999999,4.12,4.25,3.933333333333333,0.11785113019775771,0.24999999999999956,3.85,4.1
000052,3.82,1.5,3.82,1.5,3.82,1.5,3.82,0.0,0.0,3.82,3.82,1.5,0.0,0.0,1.5,1.5
000053,3.82,3.65,3.82,2.73,4.25,3.85,3.9633333333333334,0.20270394394014368,0.43000000000000016,3.82,4.25,3.41,0.4877157642179169,1.12,2.73,3.85
000054,4.15,1.5,3.82,1.5,4.25,1.5,4.073333333333333,0.18372685039360906,0.43000000000000016,3.82,4.25,1.5,0.0,0.0,1.5,1.5
000055,3.85,2.75,3.82,2.15,3.82,2.73,3.83,0.014142135623731067,0.03000000000000025,3.82,3.85,2.5433333333333334,0.27824849006278946,0.6000000000000001,2.15,2.75
000056,4.35,3.82,4.35,2.85,4.35,2.65,4.35,0.0,0.0,4.35,4.35,3.106666666666667,0.5109685791600975,1.17,2.65,3.82
000057,4.32,3.85,4.35,3.85,4.32,3.85,4.33,0.014142135623730649,0.02999999999999936,4.32,4.35,3.85,0.0,0.0,3.85,3.85
000058,4.95,4.98,4.85,4.72,4.85,4.72,4.883333333333334,0.047140452079103425,0.10000000000000053,4.85,4.95,4.806666666666666,0.12256517540566855,0.2600000000000007,4.72,4.98
000059,4.12,3.68,3.82,2.55,4.65,3.85,4.196666666666666,0.3431552936434985,0.8300000000000005,3.82,4.65,3.36,0.5769459824512749,1.3000000000000003,2.55,3.85
000060,4.15,3.85,3.85,4.12,3.85,3.65,3.9499999999999997,0.14142135623730964,0.30000000000000027,3.85,4.15,3.8733333333333335,0.1925847576753906,0.4700000000000002,3.65,4.12
000061,2.85,3.12,1.85,2.1,2.85,2.15,2.516666666666667,0.4714045207910317,1.0,1.85,2.85,2.456666666666667,0.46949145063805187,1.02,2.1,3.12
000062,4.15,3.85,4.65,3.85,3.85,2.75,4.216666666666667,0.3299831645537223,0.8000000000000003,3.85,4.65,3.483333333333333,0.5185449728701349,1.1,2.75,3.85
000063,3.82,1.5,3.45,1.5,3.45,1.5,3.573333333333333,0.17441967269268158,0.36999999999999966,3.45,3.82,1.5,0.0,0.0,1.5,1.5
000064,3.82,3.45,3.45,2.15,3.82,2.15,3.6966666666666668,0.17441967269268158,0.36999999999999966,3.45,3.82,2.5833333333333335,0.6128258770283413,1.3000000000000003,2.15,3.45
000065,3.82,2.45,3.75,2.35,3.82,2.4,3.796666666666667,0.03299831645537214,0.06999999999999984,3.75,3.82,2.4000000000000004,0.04082482904638634,0.10000000000000009,2.35,2.45
000066,3.82,3.65,3.85,3.42,3.85,2.75,3.84,0.014142135623731067,0.03000000000000025,3.82,3.85,3.2733333333333334,0.3817794593159191,0.8999999999999999,2.75,3.65
000067,2.85,2.75,2.85,1.5,2.85,3.12,2.85,0.0,0.0,2.85,2.85,2.4566666666666666,0.6931249686905113,1.62,1.5,3.12
000068,3.65,2.0,4.25,3.85,3.42,2.18,3.7733333333333334,0.34988887124660345,0.8300000000000001,3.42,4.25,2.6766666666666663,0.8329198974424585,1.85,2.0,3.85
000069,4.12,2.35,4.15,4.85,4.15,3.05,4.14,0.014142135623731067,0.03000000000000025,4.12,4.15,3.4166666666666665,1.0530379332620874,2.4999999999999996,2.35,4.85
000070,4.12,1.5,4.12,1.5,4.12,1.5,4.12,0.0,0.0,4.12,4.12,1.5,0.0,0.0,1.5,1.5
000071,4.15,1.5,4.52,2.38,4.15,3.85,4.273333333333333,0.17441967269268135,0.3699999999999992,4.15,4.52,2.5766666666666667,0.9694099006898762,2.35,1.5,3.85
000072,4.75,4.62,4.75,3.85,4.25,3.12,4.583333333333333,0.23570226039551584,0.5,4.25,4.75,3.8633333333333333,0.6124450088692771,1.5,3.12,4.62
000073,4.15,2.35,4.12,2.38,4.12,2.38,4.13,0.014142135623731067,0.03000000000000025,4.12,4.15,2.37,0.014142135623730857,0.029999999999999805,2.35,2.38
000074,4.25,4.1,4.85,4.95,4.75,4.2,4.616666666666666,0.26246692913372693,0.5999999999999996,4.25,4.85,4.416666666666667,0.37932688922470154,0.8500000000000005,4.1,4.95
000075,4.38,2.55,4.25,2.85,4.65,2.85,4.426666666666667,0.16659998666133083,0.40000000000000036,4.25,4.65,2.75,0.14142135623730964,0.30000000000000027,2.55,2.85
000076,4.25,4.85,4.85,5.0,4.75,3.85,4.616666666666666,0.26246692913372693,0.5999999999999996,4.25,4.85,4.566666666666666,0.5104464277037851,1.15,3.85,5.0
000077,4.25,1.5,4.65,1.5,4.25,1.5,4.383333333333334,0.18856180831641287,0.40000000000000036,4.25,4.65,1.5,0.0,0.0,1.5,1.5
000078,4.52,3.78,4.85,4.8,4.85,4.92,4.739999999999999,0.1555634918610405,0.33000000000000007,4.52,4.85,4.5,0.511468474101777,1.1400000000000001,3.78,4.92
000079,3.85,2.75,3.82,2.47,3.82,2.47,3.83,0.014142135623731067,0.03000000000000025,3.82,3.85,2.563333333333334,0.13199326582148876,0.2799999999999998,2.47,2.75
000080,4.25,3.15,2.85,3.72,3.75,2.85,3.6166666666666667,0.5792715732327589,1.4,2.85,4.25,3.24,0.3608323710533744,0.8700000000000001,2.85,3.72
000081,4.15,3.85,4.15,3.85,4.15,3.85,4.15,0.0,0.0,4.15,4.15,3.85,0.0,0.0,3.85,3.85
000082,4.85,3.15,4.85,3.85,4.75,3.85,4.816666666666666,0.047140452079103,0.09999999999999964,4.75,4.85,3.6166666666666667,0.32998316455372223,0.7000000000000002,3.15,3.85
000083,4.75,4.92,4.35,3.62,3.65,1.42,4.25,0.45460605656619524,1.1,3.65,4.75,3.32,1.4445299120013635,3.5,1.42,4.92
000084,2.85,1.65,2.45,1.82,1.88,2.75,2.3933333333333335,0.3980228915806505,0.9700000000000002,1.88,2.85,2.0733333333333333,0.4834827355299831,1.1,1.65,2.75
000085,3.25,4.1,3.75,4.2,3.75,3.2,3.5833333333333335,0.23570226039551584,0.5,3.25,3.75,3.8333333333333335,0.44969125210773464,1.0,3.2,4.2
000086,2.15,1.85,2.85,3.72,2.68,2.55,2.56,0.29810512687081836,0.7000000000000002,2.15,2.85,2.706666666666667,0.7714200469840597,1.87,1.85,3.72
000087,4.72,3.65,4.75,3.85,4.72,3.65,4.7299999999999995,0.014142135623731067,0.03000000000000025,4.72,4.75,3.716666666666667,0.09428090415820643,0.20000000000000018,3.65,3.85
000088,4.85,4.7,4.75,4.2,4.85,4.2,4.816666666666666,0.047140452079103,0.09999999999999964,4.75,4.85,4.366666666666667,0.23570226039551584,0.5,4.2,4.7
000089,2.15,2.85,2.15,2.87,1.25,4.15,1.8499999999999999,0.42426406871192845,0.8999999999999999,1.25,2.15,3.2900000000000005,0.6081666438293594,1.3000000000000003,2.85,4.15
000090,4.65,2.85,4.35,2.65,4.65,2.85,4.55,0.14142135623730984,0.3000000000000007,4.35,4.65,2.783333333333333,0.09428090415820643,0.20000000000000018,2.65,2.85
000091,4.25,3.15,4.12,3.85,4.25,3.85,4.206666666666667,0.06128258770283406,0.1299999999999999,4.12,4.25,3.6166666666666667,0.32998316455372223,0.7000000000000002,3.15,3.85
000092,4.15,3.65,2.85,1.65,3.85,4.72,3.6166666666666667,0.5557777333511024,1.3000000000000003,2.85,4.15,3.34,1.2723469128609015,3.07,1.65,4.72
000093,4.25,3.85,4.85,4.2,4.85,4.2,4.6499999999999995,0.28284271247461884,0.5999999999999996,4.25,4.85,4.083333333333333,0.16499158227686114,0.3500000000000001,3.85,4.2
000094,4.65,3.85,4.2,2.1,4.75,3.85,4.533333333333334,0.23921166824012202,0.5499999999999998,4.2,4.75,3.266666666666667,0.8249579113843055,1.75,2.1,3.85
000095,4.15,3.82,4.2,3.8,3.85,3.62,4.066666666666667,0.1545603082582618,0.3500000000000001,3.85,4.2,3.746666666666666,0.08993825042154682,0.19999999999999973,3.62,3.82
000096,4.25,3.15,4.12,3.25,4.25,3.1,4.206666666666667,0.06128258770283406,0.1299999999999999,4.12,4.25,3.1666666666666665,0.06236095644623234,0.1499999999999999,3.1,3.25
000097,4.75,4.2,4.85,3.72,4.85,4.2,4.816666666666666,0.047140452079103,0.09999999999999964,4.75,4.85,4.04,0.2262741699796952,0.48,3.72,4.2
000098,4.65,3.85,4.65,3.85,4.35,2.85,4.55,0.14142135623730984,0.3000000000000007,4.35,4.65,3.516666666666667,0.4714045207910317,1.0,2.85,3.85
000099,3.82,3.65,4.35,3.85,4.35,3.82,4.173333333333333,0.2498443960192467,0.5299999999999998,3.82,4.35,3.7733333333333334,0.08806563209081943,0.20000000000000018,3.65,3.85
000100,3.82,1.5,3.42,1.5,4.2,1.5,3.813333333333334,0.3184685576665651,0.7800000000000002,3.42,4.2,1.5,0.0,0.0,1.5,1.5
000101,4.65,1.5,4.2,1.5,4.2,1.5,4.3500000000000005,0.21213203435596434,0.4500000000000002,4.2,4.65,1.5,0.0,0.0,1.5,1.5
000102,3.85,1.5,3.65,1.5,3.85,1.5,3.783333333333333,0.09428090415820643,0.20000000000000018,3.65,3.85,1.5,0.0,0.0,1.5,1.5
000103,4.65,3.0,4.35,3.0,4.65,3.0,4.55,0.14142135623730984,0.3000000000000007,4.35,4.65,3.0,0.0,0.0,3.0,3.0
000104,3.45,1.5,4.12,1.5,3.82,1.5,3.796666666666667,0.2740235188608614,0.6699999999999999,3.45,4.12,1.5,0.0,0.0,1.5,1.5
000105,4.85,3.65,4.65,3.1,4.65,3.85,4.716666666666667,0.094280904158206,0.1999999999999993,4.65,4.85,3.533333333333333,0.3171049598406741,0.75,3.1,3.85
000106,4.65,3.85,4.85,3.65,4.65,3.85,4.716666666666667,0.094280904158206,0.1999999999999993,4.65,4.85,3.783333333333333,0.09428090415820643,0.20000000000000018,3.65,3.85
000107,3.67,1.43,3.75,1.5,3.85,1.5,3.7566666666666664,0.07363574011458181,0.18000000000000016,3.67,3.85,1.4766666666666666,0.03299831645537225,0.07000000000000006,1.43,1.5
000108,4.35,1.5,4.35,1.5,4.65,1.5,4.45,0.14142135623730984,0.3000000000000007,4.35,4.65,1.5,0.0,0.0,1.5,1.5
000109,4.35,2.0,4.65,2.0,4.65,2.0,4.55,0.14142135623730984,0.3000000000000007,4.35,4.65,2.0,0.0,0.0,2.0,2.0
000110,4.2,1.5,4.2,1.5,3.82,1.5,4.073333333333333,0.17913371790059218,0.38000000000000034,3.82,4.2,1.5,0.0,0.0,1.5,1.5
000111,2.15,1.5,2.85,1.5,2.15,1.5,2.3833333333333333,0.32998316455372223,0.7000000000000002,2.15,2.85,1.5,0.0,0.0,1.5,1.5
000112,3.25,1.5,2.85,1.5,3.25,1.5,3.1166666666666667,0.18856180831641264,0.3999999999999999,2.85,3.25,1.5,0.0,0.0,1.5,1.5
000113,2.85,1.5,2.85,1.5,2.85,1.5,2.85,0.0,0.0,2.85,2.85,1.5,0.0,0.0,1.5,1.5
000114,4.12,1.5,4.12,1.5,4.25,1.5,4.163333333333333,0.06128258770283406,0.1299999999999999,4.12,4.25,1.5,0.0,0.0,1.5,1.5
000115,4.85,1.5,4.85,1.5,4.72,1.5,4.806666666666666,0.06128258770283407,0.1299999999999999,4.72,4.85,1.5,0.0,0.0,1.5,1.5
000116,4.72,2.0,4.72,2.0,4.52,2.0,4.653333333333333,0.09428090415820642,0.20000000000000018,4.52,4.72,2.0,0.0,0.0,2.0,2.0
000117,3.42,1.5,2.85,1.5,2.85,1.5,3.0399999999999996,0.26870057685088794,0.5699999999999998,2.85,3.42,1.5,0.0,0.0,1.5,1.5
000118,4.72,1.5,4.12,1.5,4.25,1.5,4.363333333333333,0.2577250904010359,0.5999999999999996,4.12,4.72,1.5,0.0,0.0,1.5,1.5
000119,4.12,3.65,4.12,3.45,4.75,4.2,4.33,0.29698484809834996,0.6299999999999999,4.12,4.75,3.766666666666667,0.31710495984067416,0.75,3.45,4.2
000120,4.35,3.85,4.65,4.2,4.32,3.85,4.44,0.14899664425751355,0.33000000000000007,4.32,4.65,3.966666666666667,0.16499158227686112,0.3500000000000001,3.85,4.2
000121,4.75,3.0,4.75,3.0,4.85,3.0,4.783333333333333,0.047140452079103,0.09999999999999964,4.75,4.85,3.0,0.0,0.0,3.0,3.0
000122,4.2,1.5,4.2,1.5,4.12,1.5,4.173333333333333,0.03771236166328257,0.08000000000000007,4.12,4.2,1.5,0.0,0.0,1.5,1.5
000123,4.12,1.5,4.12,1.5,4.12,1.5,4.12,0.0,0.0,4.12,4.12,1.5,0.0,0.0,1.5,1.5
000124,0.56,0.0,0.56,0.4,0.62,1.15,0.5800000000000001,0.028284271247461874,0.05999999999999994,0.56,0.62,0.5166666666666666,0.47667832153583634,1.15,0.0,1.15
000125,4.85,3.65,4.85,3.75,4.75,3.2,4.816666666666666,0.047140452079103,0.09999999999999964,4.75,4.85,3.5333333333333337,0.23921166824012197,0.5499999999999998,3.2,3.75
000126,4.35,2.0,4.65,2.0,4.35,2.0,4.45,0.14142135623730984,0.3000000000000007,4.35,4.65,2.0,0.0,0.0,2.0,2.0
000127,4.25,1.5,4.25,1.5,4.25,1.5,4.25,0.0,0.0,4.25,4.25,1.5,0.0,0.0,1.5,1.5
000128,3.82,3.0,1.25,0.85,2.85,1.72,2.64,1.0596540315908143,2.57,1.25,3.82,1.8566666666666667,0.8830376863733256,2.15,0.85,3.0
000129,4.85,3.0,4.65,3.0,4.85,3.0,4.783333333333333,0.094280904158206,0.1999999999999993,4.65,4.85,3.0,0.0,0.0,3.0,3.0
000130,3.82,2.15,2.85,3.12,2.15,1.85,2.94,0.6847383928674269,1.67,2.15,3.82,2.373333333333333,0.5419922098661156,1.27,1.85,3.12
000131,4.32,3.15,4.35,3.1,4.65,3.45,4.44,0.14899664425751355,0.33000000000000007,4.32,4.65,3.233333333333333,0.1545603082582618,0.3500000000000001,3.1,3.45
000132,4.62,2.38,4.65,3.85,4.35,3.1,4.54,0.1349073756323207,0.3000000000000007,4.35,4.65,3.11,0.6001666435249464,1.4700000000000002,2.38,3.85
000133,4.62,2.38,4.25,3.15,4.65,3.85,4.506666666666667,0.1819035153285635,0.40000000000000036,4.25,4.65,3.1266666666666665,0.6003517487458685,1.4700000000000002,2.38,3.85
000134,4.85,4.92,4.35,3.85,4.72,4.15,4.64,0.2118175315375634,0.5,4.35,4.85,4.306666666666667,0.4506538459714826,1.0699999999999998,3.85,4.92
000135,4.65,3.85,4.65,4.1,4.35,3.15,4.55,0.14142135623730984,0.3000000000000007,4.35,4.65,3.6999999999999997,0.4020779360604939,0.9499999999999997,3.15,4.1
000136,4.65,3.85,4.32,3.15,4.35,3.12,4.44,0.14899664425751355,0.33000000000000007,4.32,4.65,3.3733333333333335,0.3372766750837591,0.73,3.12,3.85
000137,3.82,2.15,3.82,3.15,2.15,4.25,3.263333333333333,0.7872455497210229,1.67,2.15,3.82,3.1833333333333336,0.8576453553512405,2.1,2.15,4.25
000138,4.85,4.92,4.85,4.92,4.85,4.92,4.85,0.0,0.0,4.85,4.85,4.92,0.0,0.0,4.92,4.92
000139,2.15,4.2,3.82,4.15,2.85,3.45,2.94,0.6847383928674269,1.67,2.15,3.82,3.9333333333333336,0.34237730973623565,0.75,3.45,4.2
000140,2.85,1.15,2.15,2.35,2.85,2.65,2.6166666666666667,0.32998316455372223,0.7000000000000002,2.15,2.85,2.0500000000000003,0.648074069840786,1.5,1.15,2.65
000141,3.25,2.15,3.82,2.15,2.15,1.5,3.0733333333333337,0.6931249686905112,1.67,2.15,3.82,1.9333333333333333,0.30641293851417056,0.6499999999999999,1.5,2.15
000142,3.82,2.47,3.65,2.35,3.82,2.73,3.763333333333333,0.08013876853447535,0.16999999999999993,3.65,3.82,2.516666666666667,0.15860503004493753,0.3799999999999999,2.35,2.73
000143,3.85,1.5,3.2,1.5,3.2,1.8,3.4166666666666665,0.30641293851417056,0.6499999999999999,3.2,3.85,1.5999999999999999,0.14142135623730953,0.30000000000000004,1.5,1.8
000144,3.2,2.3,3.82,1.47,3.2,2.8,3.4066666666666663,0.2922708028904395,0.6199999999999997,3.2,3.82,2.19,0.548513141744723,1.3299999999999998,1.47,2.8
000145,4.85,3.0,4.85,4.75,3.82,3.0,4.506666666666667,0.4855466564147625,1.0299999999999998,3.82,4.85,3.5833333333333335,0.8249579113843054,1.75,3.0,4.75
000146,4.35,2.85,4.35,2.65,3.82,1.5,4.173333333333333,0.2498443960192467,0.5299999999999998,3.82,4.35,2.3333333333333335,0.5948856099191582,1.35,1.5,2.85
000147,4.12,2.65,4.12,4.35,3.65,2.25,3.9633333333333334,0.221560124771785,0.4700000000000002,3.65,4.12,3.0833333333333335,0.9104333522498441,2.0999999999999996,2.25,4.35
000148,3.85,1.5,4.65,3.85,4.25,2.35,4.25,0.3265986323710905,0.8000000000000003,3.85,4.65,2.5666666666666664,0.9715394427859781,2.35,1.5,3.85
000149,3.82,3.45,3.45,3.12,3.2,2.8,3.4899999999999998,0.2546893532652407,0.6199999999999997,3.2,3.82,3.1233333333333335,0.2653718564999354,0.6500000000000004,2.8,3.45
000150,3.75,1.5,2.85,1.42,3.65,1.5,3.4166666666666665,0.40276819911981904,0.8999999999999999,2.85,3.75,1.4733333333333334,0.03771236166328257,0.08000000000000007,1.42,1.5
000151,3.82,2.65,3.82,2.47,4.12,3.28,3.92,0.14142135623730964,0.30000000000000027,3.82,4.12,2.8000000000000003,0.3472751070837066,0.8099999999999996,2.47,3.28
000152,3.42,1.5,3.42,1.5,3.42,1.5,3.42,0.0,0.0,3.42,3.42,1.5,0.0,0.0,1.5,1.5
000153,3.45,1.5,3.65,1.5,3.45,1.5,3.516666666666667,0.09428090415820621,0.19999999999999973,3.45,3.65,1.5,0.0,0.0,1.5,1.5
000154,4.12,2.35,3.2,2.8,3.85,2.15,3.723333333333333,0.3861203036475664,0.9199999999999999,3.2,4.12,2.4333333333333336,0.2718251071716681,0.6499999999999999,2.15,2.8
000155,3.82,2.73,3.82,2.65,3.82,2.47,3.82,0.0,0.0,3.82,3.82,2.6166666666666667,0.10873004286866716,0.2599999999999998,2.47,2.73
000156,3.82,1.5,3.85,1.5,3.82,1.5,3.83,0.014142135623731067,0.03000000000000025,3.82,3.85,1.5,0.0,0.0,1.5,1.5
000157,3.82,1.5,3.82,1.5,3.82,1.5,3.82,0.0,0.0,3.82,3.82,1.5,0.0,0.0,1.5,1.5
000158,3.45,1.5,3.45,1.5,3.82,1.5,3.5733333333333337,0.17441967269268158,0.36999999999999966,3.45,3.82,1.5,0.0,0.0,1.5,1.5
